TRM,edson_median,hinton_median,whitecourt_median
"008055",26580.596,28003.8065,26686.857
"008064",,,
"008065",27049.042,28468.688,27156.3525
"008074",,,
"008084",,,
"008094",,,
"008104",,,28795.699
"008114",28789.958,,28795
"008124",28790.3,,28795.459
"008134",28792.2255,,28796.76
"008144",28792.744,,28790.2035
"008154",28792.7105,,28786.0045
"008164",28793.797,,28757.0805
"008174",28793.959,,28782.96
"008184",28656.32,,28744.416
"008194",27738.2145,28795.299,27843.8345
"008204",27053.523,28780.681,27157.249
"008214",26650.287,28427.502,26755.5395
"008224",26748.433,28408.759,26845.836
"008234",26597.917,28375.034,26705.088
"008244",26045.635,27731.756,26147.699
"008254",25299.121,27082.474,25400.97
"008264",24982.183,26765.9935,25085.93
"008274",25288.0845,27072.445,25393.172
"008284",26304.266,28050.859,26409.663
"008294",26659.0795,28359.401,26762.42
"008304",26800.9995,28322.799,26913.853
"009014",,,
"009015",25494.716,27097.844,25596.875
"009024",,,
"009025",24627.921,26236.604,24730.129
"009034",,,
"009035",25846.631,27113.49,25908.86
"009044",,,
"009045",26874.134,26840.169,26981.851
"009054",,,
"009055",27114.0105,28047.641,27222.43
"009064",,,
"009074",,,
"009084",,,28789.771
"009094",28792.331,,28795.72
"009104",28792.4855,,28794.356
"009114",28793.245,,28795.171
"009124",28794.246,,28796.697
"009134",28794.415,,28794.4935
"009144",28795.136,,28793.0875
"009154",28789.456,,28743.017
"009164",28711.966,,28246.7675
"009174",28244.298,,28195.448
"009184",27860.3575,28793.723,27963.27
"009194",27408.75,28795.392,27513.757
"009204",26964.901,28738.207,27069.253
"009214",26573.881,28355.673,26676.8565
"009224",26108.964,27893.03,26216.314
"009234",26292.524,28012.5775,26392.31
"009244",25434.0325,27207.475,25538.584
"009254",24949.132,26734.902,25054.931
"009264",24538.3905,26322.763,24644.078
"009274",24962.466,26742.5055,25064.255
"009284",25698.551,27483.541,25802.316
"009294",26999.469,28655.5455,27106.863
"009304",27150.3505,28275.878,27249.849
"010014",,,
"010015",25157.995,26776.636,25258.4435
"010024",,,
"010025",24433.91,26052.36,24536.436
"010034",,,
"010035",25163.573,26311.597,25272.689
"010044",,,
"010045",26899.265,26709.782,27006.261
"010054",,,
"010055",27766.535,27844.1345,27872.575
"010064",,,28785.5755
"010074",,,28796.13
"010084",28794.835,,28794.362
"010094",28795.074,,28793.751
"010104",28795.776,,28795.085
"010114",28795.922,,28796.63
"010124",28796.08,,28797.514
"010134",28796.5185,,28796.939
"010144",28797.994,,28741.369
"010154",28674.158,,28196.014
"010164",28266.9545,,27788.5835
"010174",28619.608,28793.042,28320.236
"010184",28371.385,28793.4975,28473.491
"010194",27786.096,28796.808,27888.301
