Tree_num,Province,Ecozone,Genus,Species,Variety,DBH,Height,stem_wood,stem_bark,branches,foliage
99,AB,9,PICE,MAR,,22.6,25.2,190,20,13,9
99,AB,9,PICE,GLA,,22.6,20.5,131,16,15,12
99,AB,9,PINU,CON,LAT,20.4,24.9,174,13,7,5
99,AB,14,PINU,CON,LAT,20.4,24.9,172,14,3,4
99,AB,14,PICE,MAR,,22.6,25.2,181,21,10,8
99,AB,9,PICE,GLA,,23.8,20.9,147,18,18,14
99,AB,9,PICE,MAR,,23.9,25.4,211,22,15,11
99,AB,9,PINU,CON,LAT,21.7,25.2,196,15,9,5
99,AB,9,ABIE,BAL,,24.2,22.5,156,24,15,12
99,AB,9,PICE,GLA,,26.5,21.8,186,22,25,17
99,AB,9,PICE,MAR,,26.9,25.8,264,27,22,14
99,AB,9,PINU,CON,LAT,24.1,25.9,241,18,12,7
99,AB,14,PINU,CON,LAT,24.1,25.9,240,18,6,6
99,AB,9,PICE,GLA,,22.5,20.4,130,16,15,12
99,AB,4,PICE,GLA,,22.5,20.4,125,17,5,14
99,AB,14,PICE,ENG,,23.3,19,126,16,33,20
99,AB,10,PICE,GLA,,22.5,20.4,133,17,17,12
99,AB,14,PICE,GLA,,22.5,20.4,133,17,17,12
99,AB,10,PINU,CON,LAT,20.4,24.9,174,13,7,5
99,AB,9,PICE,MAR,,17.5,24.2,116,12,6,5
99,AB,14,PICE,MAR,,17.5,24.2,112,13,5,4
99,AB,9,PINU,CON,LAT,15.9,23.4,106,9,3,3
99,AB,14,PINU,CON,LAT,15.9,23.4,103,9,1,2
99,AB,9,PICE,GLA,,19.9,19.4,99,12,11,9
99,AB,4,PICE,GLA,,19.9,19.4,97,13,4,11
99,AB,9,PICE,ENG,,23.3,19,128,16,20,15
99,AB,9,PICE,GLA,,27.6,22.2,204,24,28,19
99,AB,9,PICE,MAR,,27.9,26,284,29,25,15
99,AB,9,PICE,GLA,,26.9,22,193,23,26,18
99,AB,4,PICE,GLA,,26.9,22,182,23,9,19
99,AB,9,PICE,MAR,,27.1,25.9,269,27,23,14
99,AB,9,PINU,CON,LAT,24.5,26,249,19,13,7
99,AB,9,ABIE,BAL,,22.8,22.2,138,21,12,11
99,AB,14,PINU,CON,LAT,20.2,24.8,168,14,3,4
99,AB,9,PINU,CON,LAT,20.2,24.8,170,13,7,4
99,AB,9,PICE,GLA,,22.3,20.3,127,16,15,12
99,AB,14,PICE,ENG,,23.1,18.8,123,15,32,19
99,AB,10,PICE,GLA,,22.3,20.3,130,17,16,12
99,AB,14,PICE,GLA,,22.3,20.3,130,17,16,12
99,AB,10,PINU,CON,LAT,20.2,24.8,170,13,7,4
99,AB,9,PICE,GLA,,25.8,21.6,176,21,23,16
99,AB,9,PICE,GLA,,21.2,19.9,114,14,13,11
99,AB,4,PICE,GLA,,21.2,19.9,111,15,5,12
99,AB,4,PICE,MAR,,21.2,24.9,178,24,7,9
99,AB,9,PICE,MAR,,21.2,24.9,167,17,11,8
99,AB,9,PICE,MAR,,22.3,25.1,185,19,12,9
99,AB,9,PINU,CON,LAT,18.1,24.1,137,11,5,3
99,AB,9,PICE,MAR,,19.8,24.7,147,15,8,7
99,AB,9,PICE,GLA,,19.8,19.4,98,12,10,9
99,AB,14,PINU,CON,LAT,18.1,24.1,134,11,2,3
99,AB,14,PICE,ENG,,20.7,17.4,93,12,25,16
99,AB,14,PICE,GLA,,19.8,19.4,101,13,12,10
99,AB,14,PICE,MAR,,19.8,24.7,141,16,7,6
99,AB,9,PICE,MAR,,26,25.7,248,25,20,13
