"","TRM","FMU","Ecozone","res_con","res_dec","res_total"
"1",59185,"W15",9,23.4777954869414,5.15740176730388,28.6351972542453
"2",60185,"W15",9,18.6577561529356,5.91700060468313,24.5747567576187
"3",59195,"W15",9,22.5555163706276,2.55645250412541,25.111968874753
"4",58205,"W15",9,22.3074479564683,4.51069074231298,26.8181386987813
"5",60205,"W15",9,20.9834070669021,1.40903435520044,22.3924414221025
"6",63205,"W15",9,15.0443220887375,8.88775576995944,23.932077858697
"7",57215,"W15",9,19.4953467115799,7.5421726300945,27.0375193416744
"8",59215,"W15",9,17.1468117968313,1.12479211179446,18.2716039086257
"9",62215,"W15",9,17.3577620594199,9.80971716843579,27.1674792278556
"10",63215,"W15",9,17.2124653154882,7.31734077924488,24.529806094733
"11",59225,"W15",9,17.8582605895402,1.02945069908462,18.8877112886248
"12",61225,"W15",9,15.5345863327857,4.31265264330183,19.8472389760876
"13",63225,"W15",9,16.8857609308928,8.12511367468235,25.0108746055752
"14",58235,"W15",9,17.2061706298307,0.915621776539987,18.1217924063707
"15",61235,"W15",9,15.9464653604064,1.62368770243284,17.5701530628392
"16",62235,"W15",9,20.9030372804349,6.53665098919521,27.4396882696301
"17",58245,"W15",9,16.2277686113843,0.901282731494363,17.1290513428787
"18",59245,"W15",9,19.4487395903019,0.997784931226628,20.4465245215285
"19",61245,"W15",9,28.6049273760084,0.820023050229242,29.4249504262377
"20",56026,"W15",9,20.3318108738227,0.172147751105793,20.5039586249285
"21",56026,"W15",14,16.6080040946081,0.233502303998843,16.841506398607
"22",55046,"W15",14,13.6721537697457,0.00254700010242571,13.6747007698481
"23",60255,"W15",9,19.2090595467797,0.60374313323175,19.8128026800114
"24",61255,"W15",9,27.5680902277003,0.662727198684411,28.2308174263848
"25",58265,"W15",9,18.6677551289537,0.680507509438568,19.3482626383923
"26",59265,"W15",9,18.9939494299558,0.293906605157886,19.2878560351137
"27",58275,"W15",9,20.608462611592,0.361541919858171,20.9700045314502
"28",59275,"W15",9,27.6562919643702,0.139061630616493,27.7953535949867
"29",56016,"W15",9,19.0870885669448,0.234085865143813,19.3211744320886
"30",58016,"W15",9,18.4483632207717,0.261579750642701,18.7099429714144
"31",58016,"W15",14,15.0695131786748,0.354808436718858,15.4243216153937
"32",60265,"W15",9,17.6004297614002,0.278640539967015,17.8790703013672
"33",60275,"W15",9,24.8311521916078,0.0620708058116207,24.8932229974195
"34",57016,"W15",9,19.7509496738791,0.346599092051644,20.0975487659308
"35",58195,"W15",9,19.7975058718401,3.27898488346315,23.0764907553033
