TRM,m²,sum,count,mean_merch_volume
53095.00000000,2187500.00000000,4979.88331604,"35",142.28238046
68064.00000000,9187500.00000000,15397.46325684,"147",104.74464801
95104.00000000,1000000.00000000,985.81665802,"16",61.61354113
33105.00000000,55062500.00000000,83921.05721283,"881",95.25659162
36135.00000000,70562500.00000000,117777.60119629,"1129",104.32028450
72126.00000000,3375000.00000000,4964.73657990,"54",91.93956629
83074.00000000,5375000.00000000,7487.31335068,"86",87.06178315
96086.00000000,19687500.00000000,35128.52033615,"315",111.51911218
49135.00000000,37500000.00000000,80897.78647232,"600",134.82964412
59136.00000000,67187500.00000000,133204.94123077,"1075",123.91157324
110076.00000000,36125000.00000000,67452.72613907,"578",116.70021823
77115.00000000,20312500.00000000,52048.82353210,"325",160.15022625
22095.00000000,25312500.00000000,50043.80366898,"405",123.56494733
94215.00000000,875000.00000000,1680.76000595,"14",120.05428614
111014.00000000,62500.00000000,94.80332947,"1",94.80332947
5035.00000000,44437500.00000000,117985.23940659,"711",165.94267146
123175.00000000,875000.00000000,1258.48000336,"14",89.89142881
104016.00000000,11187500.00000000,18155.19329453,"179",101.42566086
108224.00000000,5625000.00000000,7264.78992462,"90",80.71988805
75045.00000000,15875000.00000000,34602.83971786,"254",136.23165243
55135.00000000,30437500.00000000,56990.16353226,"487",117.02292306
68235.00000000,1500000.00000000,2979.71329880,"24",124.15472078
48245.00000000,45562500.00000000,74697.04974365,"729",102.46508881
66056.00000000,20000000.00000000,45872.67662430,"320",143.35211445
58136.00000000,34875000.00000000,69573.72363281,"558",124.68409253
106254.00000000,3250000.00000000,4436.37331390,"52",85.31487142
36175.00000000,18687500.00000000,31996.30019760,"299",107.01103745
74145.00000000,1187500.00000000,1690.09664536,"19",88.95245502
99064.00000000,4375000.00000000,4482.80669785,"70",64.04009568
88204.00000000,375000.00000000,427.97665405,"6",71.32944234
61184.00000000,4125000.00000000,7426.80346680,"66",112.52732525
63115.00000000,14437500.00000000,23780.03339767,"231",102.94386752
62115.00000000,44500000.00000000,98530.48727036,"712",138.38551583
86045.00000000,14000000.00000000,27267.35319138,"224",121.72925532
28115.00000000,7062500.00000000,9835.50009155,"113",87.03982382
85265.00000000,8000000.00000000,13653.81671524,"128",106.67044309
83024.00000000,5625000.00000000,7252.62996292,"90",80.58477737
24045.00000000,187500.00000000,336.56666565,"3",112.18888855
89016.00000000,12875000.00000000,25362.31348801,"206",123.11802664
80106.00000000,6250000.00000000,10180.07670593,"100",101.80076706
103065.00000000,1437500.00000000,2258.57995605,"23",98.19912852
83035.00000000,2187500.00000000,2555.53998566,"35",73.01542816
95036.00000000,31375000.00000000,61940.68331528,"502",123.38781537
67064.00000000,10187500.00000000,15914.40332794,"163",97.63437625
82105.00000000,7687500.00000000,13146.18684006,"123",106.87956781
49244.00000000,125000.00000000,232.04332733,"2",116.02166367
53146.00000000,125000.00000000,168.42666626,"2",84.21333313
83125.00000000,3437500.00000000,4750.26332474,"55",86.36842409
66164.00000000,1750000.00000000,3298.89336014,"28",117.81762000
70224.00000000,24125000.00000000,42884.95644379,"386",111.10092343
76245.00000000,6812500.00000000,10637.38322067,"109",97.59067175
70244.00000000,14875000.00000000,31081.40312576,"238",130.59413078
33185.00000000,4687500.00000000,7708.87007904,"75",102.78493439
45135.00000000,42750000.00000000,69642.65359497,"684",101.81674502
11065.00000000,312500.00000000,867.00666809,"5",173.40133362
68164.00000000,2250000.00000000,4419.22332001,"36",122.75620333
106076.00000000,5500000.00000000,10369.29991150,"88",117.83295354
85125.00000000,10125000.00000000,13138.33997726,"162",81.10086406
99055.00000000,1187500.00000000,1489.46999741,"19",78.39315776
117086.00000000,51125000.00000000,75923.62363815,"818",92.81616582
66084.00000000,22125000.00000000,44383.18339920,"354",125.37622429
65114.00000000,10875000.00000000,25270.95317841,"174",145.23536309
114144.00000000,13500000.00000000,20794.33322144,"216",96.27006121
120124.00000000,250000.00000000,310.89333344,"4",77.72333336
42195.00000000,58250000.00000000,93804.72400284,"932",100.64884550
60054.00000000,62500.00000000,131.30999756,"1",131.30999756
93135.00000000,5750000.00000000,10437.64671326,"92",113.45268167
112214.00000000,17875000.00000000,31624.03288651,"286",110.57354156
121145.00000000,2875000.00000000,3436.10999298,"46",74.69804333
70095.00000000,17937500.00000000,42442.64369583,"287",147.88377594
71104.00000000,8437500.00000000,14473.39331055,"135",107.21032082
108116.00000000,56437500.00000000,93511.22676468,"903",103.55617582
84135.00000000,29812500.00000000,54988.12346649,"477",115.27908484
63066.00000000,47187500.00000000,101823.65929031,"755",134.86577389
88026.00000000,12812500.00000000,25890.53347015,"205",126.29528522
45026.00000000,63437500.00000000,159041.50016403,"1015",156.69113317
98066.00000000,4500000.00000000,9066.57676315,"72",125.92467727
63204.00000000,3500000.00000000,6943.01332092,"56",123.98238073
62205.00000000,26937500.00000000,56003.50379562,"431",129.93852389
115066.00000000,25812500.00000000,43920.96027756,"413",106.34615079
93034.00000000,250000.00000000,316.59333420,"4",79.14833355
94194.00000000,19687500.00000000,34140.19679642,"315",108.38157713
87134.00000000,10875000.00000000,22620.20301056,"174",130.00116673
80165.00000000,15312500.00000000,21769.14672089,"245",88.85366009
83155.00000000,4375000.00000000,5704.78998184,"70",81.49699974
84014.00000000,1687500.00000000,1811.80665588,"27",67.10395022
89025.00000000,20187500.00000000,38070.52680969,"323",117.86540808
93124.00000000,3875000.00000000,4542.79329300,"62",73.27085956
124144.00000000,6250000.00000000,9416.96665192,"100",94.16966652
31155.00000000,312500.00000000,569.72333527,"5",113.94466705
124016.00000000,125000.00000000,207.94999695,"2",103.97499847
112126.00000000,12312500.00000000,21063.19680023,"197",106.91978071
73055.00000000,1937500.00000000,3346.01661301,"31",107.93601977
117195.00000000,23875000.00000000,34287.85693741,"382",89.75878779
75036.00000000,2750000.00000000,4876.82004166,"44",110.83681913
55215.00000000,44500000.00000000,83643.94948578,"712",117.47745714
92035.00000000,10625000.00000000,18188.55324936,"170",106.99148970
51204.00000000,125000.00000000,205.81999969,"2",102.90999985
115184.00000000,9562500.00000000,14682.30333328,"153",95.96276688
115056.00000000,8437500.00000000,13998.11351395,"135",103.68972973
77145.00000000,3500000.00000000,4887.61005020,"56",87.27875090
111035.00000000,21687500.00000000,33185.38303757,"347",95.63510962
54035.00000000,125000.00000000,232.04332733,"2",116.02166367
97094.00000000,9000000.00000000,9452.30000305,"144",65.64097224
34125.00000000,47937500.00000000,72927.83065796,"767",95.08191742
108135.00000000,1062500.00000000,1403.46665192,"17",82.55686188
90115.00000000,29500000.00000000,56968.80990982,"472",120.69663116
91145.00000000,12437500.00000000,23113.53329849,"199",116.14840854
69136.00000000,34500000.00000000,70108.94648361,"552",127.00896102
101215.00000000,4000000.00000000,7124.26664734,"64",111.31666636
120134.00000000,4062500.00000000,5712.18004990,"65",87.87969308
87045.00000000,6187500.00000000,10713.89665222,"99",108.22117831
85135.00000000,6437500.00000000,10115.88338089,"103",98.21246001
95194.00000000,20562500.00000000,35420.45666885,"329",107.66096252
45115.00000000,39000000.00000000,66992.09024429,"624",107.35911898
25105.00000000,13375000.00000000,23448.75685501,"214",109.57363016
37095.00000000,34375000.00000000,67841.33983231,"550",123.34789060
93065.00000000,5062500.00000000,8598.69000244,"81",106.15666670
64264.00000000,2437500.00000000,4174.72665405,"39",107.04427318
88094.00000000,6625000.00000000,7516.08668137,"106",70.90647813
80054.00000000,5500000.00000000,9470.97995758,"88",107.62477225
73174.00000000,5125000.00000000,7091.57667923,"82",86.48264243
64214.00000000,1562500.00000000,3123.64669800,"25",124.94586792
34065.00000000,13625000.00000000,30159.99285126,"218",138.34859106
76045.00000000,25000000.00000000,59200.59686279,"400",148.00149216
122036.00000000,1875000.00000000,2180.75334930,"30",72.69177831
121205.00000000,5812500.00000000,7973.57001877,"93",85.73731203
23045.00000000,29187500.00000000,52411.88526917,"467",112.23101771
55125.00000000,10625000.00000000,19881.50338745,"170",116.95001993
110184.00000000,5000000.00000000,6605.10999298,"80",82.56387491
110095.00000000,20312500.00000000,34664.74985123,"325",106.66076877
52086.00000000,7312500.00000000,13665.04681778,"117",116.79527195
88024.00000000,8000000.00000000,11211.43662643,"128",87.58934864
49026.00000000,63812500.00000000,134220.47348785,"1021",131.45981732
81155.00000000,12375000.00000000,16551.80669785,"198",83.59498332
79126.00000000,4250000.00000000,7142.75332260,"68",105.04049004
63146.00000000,19437500.00000000,29683.46341324,"311",95.44521998
116095.00000000,62500.00000000,53.86000061,"1",53.86000061
86234.00000000,3250000.00000000,4312.76998138,"52",82.93788426
78164.00000000,17750000.00000000,28460.73983765,"284",100.21387267
103225.00000000,7812500.00000000,14944.83326340,"125",119.55866611
89046.00000000,33937500.00000000,59887.13996887,"543",110.28939221
50066.00000000,12375000.00000000,22289.26342773,"198",112.57203751
86225.00000000,8500000.00000000,14851.69670105,"136",109.20365221
71165.00000000,2625000.00000000,4976.72654343,"42",118.49348913
67174.00000000,437500.00000000,869.00000763,"7",124.14285823
111095.00000000,37812500.00000000,75572.27314377,"605",124.91284817
83104.00000000,2500000.00000000,2643.54336548,"40",66.08858414
86165.00000000,8875000.00000000,20018.10993576,"142",140.97260518
97084.00000000,5000000.00000000,5212.35667801,"80",65.15445848
95235.00000000,35062500.00000000,72058.24681473,"561",128.44607275
124224.00000000,4250000.00000000,6426.77003860,"68",94.51132410
109215.00000000,15000000.00000000,25789.58008575,"240",107.45658369
62264.00000000,375000.00000000,732.66998672,"6",122.11166445
109094.00000000,7562500.00000000,11065.16655350,"121",91.44765747
124204.00000000,1500000.00000000,2212.36002731,"24",92.18166780
77075.00000000,25000000.00000000,61031.85047531,"400",152.57962619
119106.00000000,6000000.00000000,8259.72661972,"96",86.03881896
101175.00000000,12125000.00000000,21597.62643814,"194",111.32797133
114195.00000000,54250000.00000000,86821.28701019,"868",100.02452421
120126.00000000,1375000.00000000,1590.79668045,"22",72.30894002
122194.00000000,8937500.00000000,14128.83013535,"143",98.80300794
50036.00000000,57625000.00000000,120623.82033539,"922",130.82843854
79066.00000000,562500.00000000,937.77333069,"9",104.19703674
42105.00000000,42875000.00000000,89398.21995926,"686",130.31810490
125095.00000000,3437500.00000000,4409.15332031,"55",80.16642401
78044.00000000,1187500.00000000,1804.39997864,"19",94.96841993
87194.00000000,125000.00000000,146.49333191,"2",73.24666595
122115.00000000,6312500.00000000,9911.75347137,"101",98.13617298
69084.00000000,9750000.00000000,16420.33653259,"156",105.25856752
85035.00000000,7687500.00000000,16347.23660278,"123",132.90436262
65204.00000000,125000.00000000,179.72999573,"2",89.86499786
73035.00000000,15062500.00000000,29866.75325775,"241",123.92843675
41265.00000000,49375000.00000000,109279.90634537,"790",138.32899537
105025.00000000,13937500.00000000,24081.46961975,"223",107.98865300
21065.00000000,33937500.00000000,54520.48720932,"543",100.40605379
75244.00000000,38812500.00000000,101994.73369980,"621",164.24272737
73095.00000000,6375000.00000000,13401.97983932,"102",131.39195921
121104.00000000,3437500.00000000,5065.38327026,"55",92.09787764
65095.00000000,36000000.00000000,62379.20073700,"576",108.29722350
109114.00000000,62500.00000000,62.17333221,"1",62.17333221
95096.00000000,20562500.00000000,37679.87699509,"329",114.52850150
125084.00000000,1000000.00000000,1502.62999344,"16",93.91437459
107144.00000000,4437500.00000000,6617.93656540,"71",93.21037416
78234.00000000,16312500.00000000,31217.07989120,"261",119.60567008
55205.00000000,31375000.00000000,54117.05975342,"502",107.80290788
67154.00000000,437500.00000000,943.62663269,"7",134.80380467
97044.00000000,3812500.00000000,4250.72996521,"61",69.68409779
110185.00000000,6875000.00000000,11688.53324890,"110",106.25939317
87185.00000000,2125000.00000000,2315.97671890,"34",68.11696232
102205.00000000,1500000.00000000,5259.12651062,"24",219.13027128
70124.00000000,13875000.00000000,26839.27329254,"222",120.89762744
38155.00000000,82125000.00000000,144792.30702209,"1314",110.19201448
30075.00000000,20937500.00000000,34760.19352722,"335",103.76177172
93164.00000000,4187500.00000000,5393.61666870,"67",80.50174132
42026.00000000,14500000.00000000,33458.00020981,"232",144.21551815
73245.00000000,7125000.00000000,11700.14999771,"114",102.63289472
37145.00000000,77625000.00000000,134938.51694489,"1242",108.64614891
66094.00000000,12375000.00000000,29217.51313782,"198",147.56319767
126224.00000000,4875000.00000000,6918.37003708,"78",88.69705176
102136.00000000,2625000.00000000,4878.50003052,"42",116.15476263
94036.00000000,37937500.00000000,81983.93611908,"607",135.06414517
54106.00000000,64250000.00000000,148176.82658005,"1028",144.14088189
55225.00000000,42187500.00000000,76246.77372742,"675",112.95818330
79195.00000000,4812500.00000000,9042.59342575,"77",117.43627826
40016.00000000,3125000.00000000,7365.03003311,"50",147.30060066
66134.00000000,750000.00000000,1655.46002960,"12",137.95500247
116116.00000000,28437500.00000000,41939.98696899,"455",92.17579554
32095.00000000,29437500.00000000,45300.05664444,"471",96.17846421
75245.00000000,4937500.00000000,11112.88670349,"79",140.66945194
92065.00000000,5062500.00000000,8083.87993622,"81",99.80098687
66036.00000000,20125000.00000000,37212.03993988,"322",115.56534143
88045.00000000,9812500.00000000,16549.19986343,"157",105.40891633
67094.00000000,24687500.00000000,53430.94281769,"395",135.26820967
66064.00000000,12562500.00000000,26028.41344452,"201",129.49459425
36185.00000000,21687500.00000000,38044.65684509,"347",109.63878053
98205.00000000,18750000.00000000,35506.04988480,"300",118.35349962
86074.00000000,687500.00000000,946.58999634,"11",86.05363603
103136.00000000,437500.00000000,899.53666687,"7",128.50523812
110016.00000000,37375000.00000000,68248.59085083,"598",114.12807835
57015.00000000,375000.00000000,671.04332733,"6",111.84055456
120104.00000000,3125000.00000000,4630.47324371,"50",92.60946487
110224.00000000,3000000.00000000,4383.97660828,"48",91.33284601
87245.00000000,250000.00000000,421.05667877,"4",105.26416969
100035.00000000,2000000.00000000,2390.50663757,"32",74.70333242
101105.00000000,12625000.00000000,27517.55973434,"202",136.22554324
86036.00000000,19375000.00000000,38615.52628708,"310",124.56621383
109175.00000000,312500.00000000,596.12666321,"5",119.22533264
80104.00000000,1250000.00000000,1754.56666183,"20",87.72833309
93254.00000000,18187500.00000000,33957.48956299,"291",116.69240400
65184.00000000,11812500.00000000,29126.03978729,"189",154.10603062
126215.00000000,3562500.00000000,4028.32003403,"57",70.67228130
86105.00000000,4937500.00000000,6544.34328842,"79",82.83978846
111165.00000000,29750000.00000000,50763.01007462,"476",106.64497915
77244.00000000,35125000.00000000,93064.12015152,"562",165.59451984
120175.00000000,2500000.00000000,2919.26332855,"40",72.98158321
71195.00000000,4312500.00000000,6963.85998917,"69",100.92550709
76194.00000000,3000000.00000000,4086.76667023,"48",85.14097230
106255.00000000,6125000.00000000,10587.49337769,"98",108.03564671
80085.00000000,1437500.00000000,2241.22669983,"23",97.44463912
67185.00000000,37437500.00000000,78742.79708099,"599",131.45709029
54274.00000000,125000.00000000,200.31333160,"2",100.15666580
111025.00000000,8750000.00000000,12431.45657349,"140",88.79611838
89175.00000000,4250000.00000000,7283.25672150,"68",107.10671649
111235.00000000,47625000.00000000,95853.99694824,"762",125.79264691
38125.00000000,46250000.00000000,69788.62980652,"740",94.30895920
64066.00000000,42937500.00000000,95806.44302750,"687",139.45624895
87126.00000000,8750000.00000000,14195.72991180,"140",101.39807080
110154.00000000,3250000.00000000,4896.66658783,"52",94.16666515
110025.00000000,4062500.00000000,5301.14326477,"65",81.55605023
63234.00000000,4000000.00000000,8207.07656097,"64",128.23557127
62136.00000000,62250000.00000000,145933.60997772,"996",146.51968873
91155.00000000,29625000.00000000,61690.16996384,"474",130.14803790
121096.00000000,20437500.00000000,26672.75305176,"327",81.56805215
82215.00000000,312500.00000000,516.59332275,"5",103.31866455
69026.00000000,6625000.00000000,11233.55675125,"106",105.97695048
24095.00000000,27625000.00000000,61505.49654770,"442",139.15270712
122174.00000000,62500.00000000,78.01666260,"1",78.01666260
107106.00000000,44187500.00000000,74055.75357819,"707",104.74646899
79024.00000000,5437500.00000000,6719.28992462,"87",77.23321752
101145.00000000,6625000.00000000,10407.69343185,"106",98.18578709
58056.00000000,40250000.00000000,66114.27972031,"644",102.66192503
80105.00000000,2000000.00000000,2809.68666840,"32",87.80270839
108174.00000000,2500000.00000000,4165.22327805,"40",104.13058195
20035.00000000,1812500.00000000,3271.00993347,"29",112.79344598
91054.00000000,13437500.00000000,17384.65990067,"215",80.85888326
117095.00000000,62500.00000000,53.86000061,"1",53.86000061
63014.00000000,4250000.00000000,8315.88668442,"68",122.29245124
122234.00000000,62500.00000000,100.13333130,"1",100.13333130
112095.00000000,4562500.00000000,7794.06656265,"73",106.76803510
66244.00000000,3937500.00000000,7906.78661346,"63",125.50454942
65075.00000000,42312500.00000000,87659.45703125,"677",129.48221127
61185.00000000,33375000.00000000,58565.47010040,"534",109.67316498
60024.00000000,2187500.00000000,4719.09332275,"35",134.83123779
103244.00000000,27437500.00000000,43988.33655930,"439",100.20122223
94086.00000000,49125000.00000000,96219.03678894,"786",122.41607734
124154.00000000,4500000.00000000,6534.65337372,"72",90.75907463
40185.00000000,61125000.00000000,99858.79698944,"978",102.10510940
88104.00000000,9937500.00000000,13728.93001938,"159",86.34547182
60154.00000000,1187500.00000000,2244.93338013,"19",118.15438843
121235.00000000,15187500.00000000,21442.56348801,"243",88.24100201
56175.00000000,51687500.00000000,114423.17687988,"827",138.35934326
90086.00000000,46562500.00000000,86378.17052078,"745",115.94385305
108066.00000000,22125000.00000000,35189.42332458,"354",99.40515063
48215.00000000,29500000.00000000,53507.30299377,"472",113.36293007
106046.00000000,20000000.00000000,41854.35965729,"320",130.79487393
85015.00000000,12375000.00000000,24673.56007385,"198",124.61393977
100064.00000000,3625000.00000000,3729.78667068,"58",64.30666674
72104.00000000,187500.00000000,188.89000320,"3",62.96333440
68204.00000000,14437500.00000000,29200.35649490,"231",126.40846967
32105.00000000,51312500.00000000,78242.01055527,"821",95.30086548
53175.00000000,11187500.00000000,22471.44005203,"179",125.53877124
126035.00000000,125000.00000000,210.42999268,"2",105.21499634
86174.00000000,10125000.00000000,20245.87330246,"162",124.97452656
105234.00000000,13500000.00000000,18844.70972824,"216",87.24402652
79044.00000000,8062500.00000000,14408.60658646,"129",111.69462470
70066.00000000,3250000.00000000,6425.67669678,"52",123.57070571
78116.00000000,8125000.00000000,13218.15673447,"130",101.67812873
110075.00000000,14687500.00000000,24673.54976654,"235",104.99382879
64126.00000000,50437500.00000000,101478.43307114,"807",125.74774854
56096.00000000,28937500.00000000,56200.06313324,"463",121.38242577
28135.00000000,16187500.00000000,25771.87671661,"259",99.50531551
54015.00000000,125000.00000000,184.88333130,"2",92.44166565
126055.00000000,687500.00000000,925.75999832,"11",84.15999985
103224.00000000,35437500.00000000,51949.88965607,"567",91.62238035
115185.00000000,37312500.00000000,61828.84064102,"597",103.56589722
67146.00000000,8062500.00000000,13839.44686508,"129",107.28253384
27115.00000000,10937500.00000000,22498.24019623,"175",128.56137255
84065.00000000,6625000.00000000,8817.48665237,"106",83.18383634
89114.00000000,5062500.00000000,5345.98671341,"81",65.99983597
79075.00000000,2937500.00000000,6016.52664948,"47",128.01120531
74054.00000000,2187500.00000000,3143.15002823,"35",89.80428652
101244.00000000,20750000.00000000,32035.88009262,"332",96.49361474
24115.00000000,31375000.00000000,73683.57012939,"502",146.78002018
108185.00000000,250000.00000000,337.02665710,"4",84.25666428
65106.00000000,39750000.00000000,76878.02302933,"636",120.87739470
108114.00000000,1000000.00000000,1651.86331177,"16",103.24145699
89234.00000000,1187500.00000000,1550.29001617,"19",81.59421138
57016.00000000,74000000.00000000,135502.52576447,"1184",114.44470081
14065.00000000,18562500.00000000,41612.54375458,"297",140.10957493
96174.00000000,19812500.00000000,33436.52335739,"317",105.47799166
60136.00000000,41125000.00000000,73555.27340698,"658",111.78612980
41085.00000000,28000000.00000000,54542.97993851,"448",121.74772308
94066.00000000,13062500.00000000,27232.80953979,"209",130.30052411
116185.00000000,26062500.00000000,36688.90028000,"417",87.98297429
53045.00000000,250000.00000000,363.53667450,"4",90.88416862
112184.00000000,250000.00000000,263.56999969,"4",65.89249992
102125.00000000,187500.00000000,194.25000000,"3",64.75000000
51016.00000000,51500000.00000000,83220.50345230,"824",100.99575662
84136.00000000,187500.00000000,393.77999115,"3",131.25999705
78254.00000000,13187500.00000000,24056.59326935,"211",114.01229038
38195.00000000,9125000.00000000,11809.59682846,"146",80.88764951
110155.00000000,4000000.00000000,7033.38668442,"64",109.89666694
91154.00000000,1125000.00000000,1155.77667999,"18",64.20981556
35065.00000000,9687500.00000000,21271.52969742,"155",137.23567547
120016.00000000,19250000.00000000,25535.40683365,"308",82.90716504
79224.00000000,7062500.00000000,12687.24330139,"113",112.27648939
48155.00000000,47937500.00000000,85279.05300522,"767",111.18520600
90125.00000000,24312500.00000000,47900.16294479,"389",123.13666567
75106.00000000,2937500.00000000,5592.74340057,"47",118.99454044
106134.00000000,3625000.00000000,5807.09659576,"58",100.12235510
99026.00000000,20875000.00000000,43154.57026291,"334",129.20530019
90225.00000000,62500.00000000,53.78666687,"1",53.78666687
81064.00000000,2687500.00000000,3680.75997543,"43",85.59906920
62085.00000000,26875000.00000000,53250.60652542,"430",123.83861983
102224.00000000,7500000.00000000,12268.18000412,"120",102.23483337
49105.00000000,20000000.00000000,41701.05995178,"320",130.31581235
64105.00000000,31687500.00000000,67071.10364532,"507",132.29014526
73194.00000000,25562500.00000000,49533.75980759,"409",121.10943718
36205.00000000,5437500.00000000,11569.74674988,"87",132.98559483
33075.00000000,10062500.00000000,21019.32315445,"161",130.55480220
45016.00000000,49875000.00000000,127740.35918808,"798",160.07563808
116195.00000000,21437500.00000000,30333.43682480,"343",88.43567587
50046.00000000,47687500.00000000,87616.85048676,"763",114.83204520
111174.00000000,11812500.00000000,16148.72333527,"189",85.44298061
76134.00000000,1000000.00000000,1444.48331833,"16",90.28020740
115245.00000000,7250000.00000000,10259.19997406,"116",88.44137909
82195.00000000,1875000.00000000,2672.33003998,"30",89.07766800
