Tree_num,Province,Ecozone,Genus,Species,Variety,DBH,Height,stem_wood,stem_bark,branches,foliage
134,AB,4,ABIE,LAS,,23.3,16.22,103,18,33,20
135,AB,4,ABIE,LAS,,23.4,16.25,104,18,33,21
136,AB,4,ABIE,LAS,,23.5,16.27,105,19,34,21
137,AB,4,ABIE,LAS,,23.6,16.3,106,19,34,21
138,AB,4,ABIE,LAS,,23.7,16.33,107,19,35,21
139,AB,4,ABIE,LAS,,23.8,16.35,107,19,35,22
140,AB,4,ABIE,LAS,,23.9,16.38,108,19,36,22
141,AB,4,ABIE,LAS,,24,16.4,109,19,36,22
142,AB,4,ABIE,LAS,,24.1,16.43,110,20,36,22
143,AB,4,ABIE,LAS,,24.2,16.46,111,20,37,23
144,AB,4,ABIE,LAS,,24.3,16.48,112,20,37,23
145,AB,4,ABIE,LAS,,24.4,16.51,113,20,38,23
146,AB,4,ABIE,LAS,,24.5,16.53,114,20,38,23
147,AB,4,ABIE,LAS,,24.6,16.56,115,20,39,23
148,AB,4,ABIE,LAS,,24.7,16.59,116,21,39,24
149,AB,4,ABIE,LAS,,24.8,16.61,117,21,40,24
150,AB,4,ABIE,LAS,,24.9,16.64,118,21,40,24
151,AB,4,ABIE,LAS,,25,16.66,119,21,41,24
152,AB,4,ABIE,LAS,,25.1,16.69,120,21,41,25
153,AB,4,ABIE,LAS,,25.2,16.71,121,22,42,25
154,AB,4,ABIE,LAS,,25.3,16.74,122,22,42,25
155,AB,4,ABIE,LAS,,25.4,16.76,123,22,43,25
156,AB,4,ABIE,LAS,,25.5,16.79,124,22,43,26
157,AB,4,ABIE,LAS,,25.6,16.81,125,22,44,26
158,AB,4,ABIE,LAS,,25.7,16.84,126,22,44,26
159,AB,4,ABIE,LAS,,25.8,16.86,127,23,45,27
160,AB,4,ABIE,LAS,,25.9,16.89,128,23,45,27
161,AB,4,ABIE,LAS,,26,16.91,129,23,46,27
162,AB,4,ABIE,LAS,,26.1,16.94,130,23,47,27
163,AB,4,ABIE,LAS,,26.2,16.96,131,23,47,28
164,AB,4,ABIE,LAS,,26.3,16.99,132,24,48,28
165,AB,4,ABIE,LAS,,26.4,17.01,133,24,48,28
166,AB,4,ABIE,LAS,,26.5,17.04,135,24,49,28
167,AB,4,ABIE,LAS,,26.6,17.06,136,24,49,29
168,AB,4,ABIE,LAS,,26.7,17.09,137,24,50,29
169,AB,4,ABIE,LAS,,26.8,17.11,138,25,50,29
170,AB,4,ABIE,LAS,,26.9,17.13,139,25,51,29
171,AB,4,ABIE,LAS,,27,17.16,140,25,52,30
172,AB,4,ABIE,LAS,,27.1,17.18,141,25,52,30
173,AB,4,ABIE,LAS,,27.2,17.21,142,25,53,30
174,AB,4,ABIE,LAS,,27.3,17.23,143,26,53,31
175,AB,4,ABIE,LAS,,27.4,17.26,144,26,54,31
176,AB,4,ABIE,LAS,,27.5,17.28,145,26,55,31
177,AB,4,ABIE,LAS,,27.6,17.3,146,26,55,31
