TRM,M,RGE,TWP,FMU_NAME,FMU_CODE,areaha,ECOZONE,ZONE_NAME,FTEAREA
"068104","4","10","68",L1,L01,9513.463,"9",Boreal PLain,9513.463
"069104","4","10","69",L1,L01,9495.492,"9",Boreal PLain,9495.492
"071104","4","10","71",L1,L01,9563.569,"9",Boreal PLain,9563.569
"074104","4","10","74",L1,L01,9453.940,"9",Boreal PLain,9453.939
"075104","4","10","75",L1,L01,4772.344,"9",Boreal PLain,4772.354
"075104","4","10","75",L11,L11,4749.345,"9",Boreal PLain,4749.336
"078104","4","10","78",L11,L11,9457.243,"9",Boreal PLain,9457.242
"079104","4","10","79",L11,L11,9533.766,"9",Boreal PLain,9533.767
"081104","4","10","81",A16,A16,9487.879,"9",Boreal PLain,9487.879
"083104","4","10","83",A16,A16,9541.381,"9",Boreal PLain,9541.382
"085104","4","10","85",A16,A16,9483.968,"9",Boreal PLain,9483.968
"088104","4","10","88",A16,A16,9497.740,"9",Boreal PLain,9497.740
"089104","4","10","89",A16,A16,9494.862,"9",Boreal PLain,9494.862
"091104","4","10","91",A16,A16,9549.114,"9",Boreal PLain,9549.115
"093104","4","10","93",A16,A16,9488.415,"9",Boreal PLain,9488.415
"095104","4","10","95",A16,A16,9545.834,"9",Boreal PLain,9545.836
"096104","4","10","96",A16,A16,9518.107,"9",Boreal PLain,9518.107
"099104","4","10","99",A16,A16,9535.729,"9",Boreal PLain,9535.731
"101104","4","10","101",A10,A10,9489.435,"9",Boreal PLain,9489.436
"103104","4","10","103",A10,A10,9540.515,"9",Boreal PLain,9540.516
"109104","4","10","109",A12,A12,696.870,"9",Boreal PLain,696.870
"124104","4","10","124",A13,A13,135.359,"9",Boreal PLain,135.356
"126104","4","10","126",A13,A13,9641.360,"9",Boreal PLain,9641.360
"057114","4","11","57",LO1,L51,9485.282,"9",Boreal PLain,9485.282
"058114","4","11","58",LO1,L51,9469.969,"9",Boreal PLain,9469.968
"061114","4","11","61",LO1,L51,9492.198,"9",Boreal PLain,9492.198
"062114","4","11","62",LO1,L51,9459.822,"9",Boreal PLain,9459.820
"064114","4","11","64",LO1,L51,9501.930,"9",Boreal PLain,9501.930
"066114","4","11","66",LO1,L51,9480.129,"9",Boreal PLain,9480.128
"068114","4","11","68",L1,L01,9514.763,"9",Boreal PLain,9514.763
"071114","4","11","71",L1,L01,9561.349,"9",Boreal PLain,9561.351
"072114","4","11","72",L1,L01,9508.062,"9",Boreal PLain,9508.062
"074114","4","11","74",L1,L01,9455.353,"9",Boreal PLain,9455.351
"076114","4","11","76",L11,L11,9509.107,"9",Boreal PLain,9509.107
"078114","4","11","78",L11,L11,9459.836,"9",Boreal PLain,9459.835
"079114","4","11","79",L11,L11,9533.078,"9",Boreal PLain,9533.079
"082114","4","11","82",A16,A16,9469.961,"9",Boreal PLain,9469.959
"084114","4","11","84",A16,A16,9505.754,"9",Boreal PLain,9505.754
"086114","4","11","86",A16,A16,9455.678,"9",Boreal PLain,9455.677
"088114","4","11","88",A16,A16,9506.593,"9",Boreal PLain,9506.593
"089114","4","11","89",A16,A16,9483.792,"9",Boreal PLain,9483.792
"092114","4","11","92",A16,A16,9504.824,"9",Boreal PLain,9504.824
"093114","4","11","93",A16,A16,9484.642,"9",Boreal PLain,9484.642
"096114","4","11","96",A16,A16,9502.793,"9",Boreal PLain,9502.793
"098114","4","11","98",A16,A16,9446.385,"9",Boreal PLain,9446.383
"099114","4","11","99",A16,A16,9541.640,"9",Boreal PLain,9541.642
"102114","4","11","102",A10,A10,9463.309,"9",Boreal PLain,9463.307
"103114","4","11","103",A10,A10,9543.898,"9",Boreal PLain,9543.900
"124114","4","11","124",A13,A13,152.916,"9",Boreal PLain,152.916
"127114","4","11","127",A13,A13,32.463,"9",Boreal PLain,32.508
"054224","4","22","54",LO1,L51,138.295,"10",Prairie,138.295
"056224","4","22","56",LO1,L51,9528.042,"10",Prairie,9528.042
"058224","4","22","58",LO1,L51,9432.969,"9",Boreal PLain,7823.117
"058224","4","22","58",LO1,L51,9432.969,"10",Prairie,1609.850
"059224","4","22","59",LO1,L51,9474.623,"9",Boreal PLain,9474.625
"062224","4","22","62",LO1,L51,9385.001,"9",Boreal PLain,9385.001
"063224","4","22","63",LO1,L51,9442.246,"9",Boreal PLain,9442.247
"066224","4","22","66",LO1,L51,7500.516,"9",Boreal PLain,7500.516
"066224","4","22","66",SO1,S51,1883.503,"9",Boreal PLain,1883.502
"068224","4","22","68",LO1,L51,9503.678,"9",Boreal PLain,9503.678
"069224","4","22","69",LO1,L51,9492.925,"9",Boreal PLain,9492.925
"072224","4","22","72",L2,L02,9507.840,"9",Boreal PLain,9507.840
"073224","4","22","73",L2,L02,9487.851,"9",Boreal PLain,9487.851
"076224","4","22","76",L2,L02,9509.901,"9",Boreal PLain,9509.901
"077224","4","22","77",S18,S18,9488.623,"9",Boreal PLain,9488.623
"079224","4","22","79",S18,S18,9529.517,"9",Boreal PLain,9529.520
"082224","4","22","82",S18,S18,9472.637,"9",Boreal PLain,9472.635
"083224","4","22","83",S22,S22,9546.663,"9",Boreal PLain,9546.665
"086224","4","22","86",S22,S22,9455.318,"9",Boreal PLain,9455.316
"087224","4","22","87",S22,S22,9531.255,"9",Boreal PLain,9531.256
"089224","4","22","89",S22,S22,9486.906,"9",Boreal PLain,9486.906
"091224","4","22","91",S22,S22,9547.344,"9",Boreal PLain,9547.345
"093224","4","22","93",S22,S22,9486.311,"9",Boreal PLain,9486.311
"096224","4","22","96",S22,S22,9507.640,"9",Boreal PLain,9507.640
"097224","4","22","97",A9,A09,9484.871,"9",Boreal PLain,9484.871
"099224","4","22","99",A9,A09,9535.516,"9",Boreal PLain,9535.517
"101224","4","22","101",A9,A09,9488.279,"9",Boreal PLain,9488.279
"103224","4","22","103",A9,A09,9545.116,"9",Boreal PLain,9545.116
"104224","4","22","104",A9,A09,9514.328,"9",Boreal PLain,9514.328
"055234","4","23","55",LO1,L51,9554.729,"10",Prairie,9554.731
"056234","4","23","56",LO1,L51,9509.933,"10",Prairie,9509.933
"059234","4","23","59",LO1,L51,9509.935,"9",Boreal PLain,9509.703
"059234","4","23","59",LO1,L51,9509.935,"10",Prairie,0.234
"060234","4","23","60",LO1,L51,9524.557,"9",Boreal PLain,9524.557
"062234","4","23","62",LO1,L51,9401.498,"9",Boreal PLain,9401.496
"064234","4","23","64",LO1,L51,2933.440,"9",Boreal PLain,2933.441
"064234","4","23","64",SO1,S51,6570.339,"9",Boreal PLain,6570.338
"066234","4","23","66",LO1,L51,553.331,"9",Boreal PLain,553.332
"066234","4","23","66",SO1,S51,8857.719,"9",Boreal PLain,8857.716
"069234","4","23","69",L2,L02,0.002,"9",Boreal PLain,0.000
"069234","4","23","69",LO1,L51,5299.436,"9",Boreal PLain,5299.438
"069234","4","23","69",S23,S23,839.155,"9",Boreal PLain,839.153
"069234","4","23","69",SO1,S51,3350.486,"9",Boreal PLain,3350.486
"070234","4","23","70",L2,L02,8557.467,"9",Boreal PLain,8557.465
"070234","4","23","70",LO1,L51,0.002,"9",Boreal PLain,0.000
"070234","4","23","70",S23,S23,939.072,"9",Boreal PLain,939.071
"072234","4","23","72",L2,L02,9508.939,"9",Boreal PLain,9508.939
"074234","4","23","74",L2,L02,3148.792,"9",Boreal PLain,3148.791
"074234","4","23","74",S17,S17,6308.850,"9",Boreal PLain,6308.849
"076234","4","23","76",L2,L02,8455.564,"9",Boreal PLain,8455.562
"076234","4","23","76",S17,S17,1057.475,"9",Boreal PLain,1057.476
"077234","4","23","77",S18,S18,9491.666,"9",Boreal PLain,9491.666
"080234","4","23","80",S18,S18,9509.005,"9",Boreal PLain,9509.005
"082234","4","23","82",S18,S18,9473.358,"9",Boreal PLain,9473.357
"084234","4","23","84",S22,S22,9508.167,"9",Boreal PLain,9508.167
"086234","4","23","86",S22,S22,9454.811,"9",Boreal PLain,9454.810
"087234","4","23","87",S22,S22,9530.845,"9",Boreal PLain,9530.846
"090234","4","23","90",S22,S22,9471.718,"9",Boreal PLain,9471.718
"091234","4","23","91",S22,S22,9547.253,"9",Boreal PLain,9547.254
"094234","4","23","94",S22,S22,9466.815,"9",Boreal PLain,9466.814
"096234","4","23","96",S22,S22,9507.423,"9",Boreal PLain,9507.423
"097234","4","23","97",A9,A09,9484.818,"9",Boreal PLain,9484.818
"100234","4","23","100",A9,A09,9511.546,"9",Boreal PLain,9511.546
"101234","4","23","101",A9,A09,9488.732,"9",Boreal PLain,9488.732
"066065","5","6","66",W16,W16,9457.155,"9",Boreal PLain,9457.155
"067065","5","6","67",S20,S20,9531.151,"9",Boreal PLain,9531.152
"069065","5","6","69",S17,S17,1580.368,"9",Boreal PLain,1580.367
"069065","5","6","69",S20,S20,7901.572,"9",Boreal PLain,7901.574
"072065","5","6","72",S17,S17,2383.281,"9",Boreal PLain,2383.285
"072065","5","6","72",S20,S20,6399.868,"9",Boreal PLain,6399.867
"072065","5","6","72",SO2,S52,720.666,"9",Boreal PLain,720.662
"073065","5","6","73",S17,S17,4.206,"9",Boreal PLain,4.206
"073065","5","6","73",S20,S20,566.169,"9",Boreal PLain,566.168
"073065","5","6","73",SO2,S52,8926.299,"9",Boreal PLain,8926.298
"076065","5","6","76",S17,S17,9512.764,"9",Boreal PLain,9512.764
"077065","5","6","77",S17,S17,9487.476,"9",Boreal PLain,9487.476
"079065","5","6","79",S18,S18,9563.913,"9",Boreal PLain,9563.913
"081065","5","6","81",S18,S18,9488.131,"9",Boreal PLain,9488.131
"083065","5","6","83",S19,S19,9505.762,"9",Boreal PLain,9505.764
"086065","5","6","86",S11,S11,9463.285,"9",Boreal PLain,9463.284
"087065","5","6","87",S11,S11,9537.189,"9",Boreal PLain,9537.190
"089065","5","6","89",S10,S10,9487.334,"9",Boreal PLain,9487.334
"091065","5","6","91",P21,P21,4775.688,"9",Boreal PLain,4775.689
"091065","5","6","91",S14,S14,4775.559,"9",Boreal PLain,4775.559
"093065","5","6","93",S14,S14,9487.140,"9",Boreal PLain,9487.140
"094065","5","6","94",P21,P21,3154.346,"9",Boreal PLain,3154.346
"094065","5","6","94",S14,S14,6308.936,"9",Boreal PLain,6308.935
"097065","5","6","97",F26,F26,9489.662,"9",Boreal PLain,9489.662
"099065","5","6","99",F26,F26,9546.506,"9",Boreal PLain,9546.508
"101065","5","6","101",F26,F26,9490.010,"9",Boreal PLain,9490.010
"103065","5","6","103",F26,F26,9546.488,"9",Boreal PLain,9546.489
"104065","5","6","104",F26,F26,9512.601,"9",Boreal PLain,9512.601
"107065","5","6","107",F26,F26,9513.876,"9",Boreal PLain,9513.878
"108065","5","6","108",F23,F23,7021.930,"9",Boreal PLain,7021.933
"108065","5","6","108",F26,F26,2491.357,"9",Boreal PLain,2491.354
"111065","5","6","111",F23,F23,9532.868,"9",Boreal PLain,5101.640
"111065","5","6","111",F23,F23,9532.868,"4",Taiga Plain,4431.230
"113065","5","6","113",F23,F23,9483.687,"4",Taiga Plain,9483.687
"114065","5","6","114",F23,F23,9461.745,"4",Taiga Plain,9461.743
"117065","5","6","117",F10,F10,9484.730,"4",Taiga Plain,9484.730
"118065","5","6","118",F10,F10,9463.103,"4",Taiga Plain,9463.101
"016075","5","7","16",B11,B11,116.798,"14",Montane Cordillera,116.799
"019075","5","7","19",B11,B11,8720.954,"14",Montane Cordillera,8720.955
"020075","5","7","20",B11,B11,9332.495,"14",Montane Cordillera,9332.495
"020075","5","7","20",B12,B12,172.142,"14",Montane Cordillera,172.142
"022075","5","7","22",B11,B11,2857.253,"14",Montane Cordillera,2857.253
"022075","5","7","22",B12,B12,6617.698,"14",Montane Cordillera,6617.697
"024075","5","7","24",B12,B12,7000.121,"14",Montane Cordillera,2931.517
"024075","5","7","24",B12,B12,7000.121,"9",Boreal PLain,4068.605
"024075","5","7","24",BO1,B51,2497.223,"14",Montane Cordillera,1349.756
"024075","5","7","24",BO1,B51,2497.223,"9",Boreal PLain,1147.465
"026075","5","7","26",B12,B12,4141.426,"14",Montane Cordillera,4141.423
"026075","5","7","26",BO2,B52,5381.113,"14",Montane Cordillera,5381.115
"027075","5","7","27",B12,B12,9282.325,"9",Boreal PLain,467.179
"027075","5","7","27",B12,B12,9282.325,"14",Montane Cordillera,8815.147
"027075","5","7","27",BO2,B52,272.480,"14",Montane Cordillera,272.481
"030075","5","7","30",B12,B12,9487.347,"9",Boreal PLain,9487.346
"032075","5","7","32",B12,B12,7917.086,"9",Boreal PLain,7917.090
"032075","5","7","32",BO2,B52,1581.687,"9",Boreal PLain,1581.682
"034075","5","7","34",BO2,B52,1311.578,"9",Boreal PLain,1311.580
"034075","5","7","34",R10,R10,8165.454,"9",Boreal PLain,8165.450
"036075","5","7","36",BO2,B52,517.971,"9",Boreal PLain,517.970
"036075","5","7","36",R10,R10,4223.082,"9",Boreal PLain,4223.084
"036075","5","7","36",RO1,R51,4768.935,"9",Boreal PLain,4768.934
"037075","5","7","37",R10,R10,1789.414,"9",Boreal PLain,1789.418
"037075","5","7","37",RO1,R51,7717.969,"9",Boreal PLain,7717.965
"040075","5","7","40",RO1,R51,9507.327,"9",Boreal PLain,9507.327
"041075","5","7","41",R15,R15,1946.207,"9",Boreal PLain,1946.204
"041075","5","7","41",RO1,R51,7535.238,"9",Boreal PLain,7535.240
"044075","5","7","44",R15,R15,7132.417,"9",Boreal PLain,7132.421
"044075","5","7","44",RO1,R51,2368.884,"9",Boreal PLain,2368.880
"046075","5","7","46",RO1,R51,9411.460,"9",Boreal PLain,9411.459
"047075","5","7","47",RO1,R51,9486.363,"9",Boreal PLain,9486.365
"050075","5","7","50",RO1,R51,9461.383,"9",Boreal PLain,9461.382
"050075","5","7","50",WO2,W52,0.001,"9",Boreal PLain,0.000
"051075","5","7","51",WO2,W52,9479.209,"9",Boreal PLain,9479.210
"054075","5","7","54",WO2,W52,9406.941,"9",Boreal PLain,9406.939
"055075","5","7","55",WO2,W52,9486.699,"9",Boreal PLain,9486.701
"057075","5","7","57",WO2,W52,9483.199,"9",Boreal PLain,9483.199
"060075","5","7","60",WO2,W52,9495.292,"9",Boreal PLain,9495.292
"061075","5","7","61",WO2,W52,9484.152,"9",Boreal PLain,9484.152
"064075","5","7","64",W16,W16,9497.111,"9",Boreal PLain,9497.111
"065075","5","7","65",W16,W16,9473.580,"9",Boreal PLain,9473.580
"067075","5","7","67",S20,S20,9530.147,"9",Boreal PLain,9530.149
"069075","5","7","69",S20,S20,9480.159,"9",Boreal PLain,9480.159
"071075","5","7","71",S20,S20,9495.065,"9",Boreal PLain,9495.067
"074075","5","7","74",SO2,S52,9430.994,"9",Boreal PLain,9430.992
"075075","5","7","75",S17,S17,2132.969,"9",Boreal PLain,2132.972
"075075","5","7","75",SO2,S52,7381.597,"9",Boreal PLain,7381.596
"077075","5","7","77",S17,S17,9487.228,"9",Boreal PLain,9487.228
"079075","5","7","79",S17,S17,815.823,"9",Boreal PLain,815.828
"079075","5","7","79",S18,S18,8747.307,"9",Boreal PLain,8747.304
"081075","5","7","81",S19,S19,9488.875,"9",Boreal PLain,9488.875
"082075","5","7","82",S19,S19,9431.157,"9",Boreal PLain,9431.155
"085075","5","7","85",S10,S10,9489.198,"9",Boreal PLain,9489.198
"087075","5","7","87",S10,S10,9536.877,"9",Boreal PLain,9536.880
"089075","5","7","89",S10,S10,9487.314,"9",Boreal PLain,9487.314
"091075","5","7","91",P21,P21,9551.977,"9",Boreal PLain,9551.979
"092075","5","7","92",P21,P21,9509.730,"9",Boreal PLain,9509.730
"095075","5","7","95",P21,P21,9542.725,"9",Boreal PLain,9542.727
"096075","5","7","96",P21,P21,9512.092,"9",Boreal PLain,9512.092
"099075","5","7","99",F26,F26,9545.356,"9",Boreal PLain,9545.358
"101075","5","7","101",F26,F26,9488.902,"9",Boreal PLain,9488.902
"102075","5","7","102",F26,F26,9466.307,"9",Boreal PLain,9466.305
"105075","5","7","105",F26,F26,9489.027,"9",Boreal PLain,9489.027
"106075","5","7","106",F26,F26,9437.263,"9",Boreal PLain,9437.261
"109075","5","7","109",F23,F23,9478.479,"9",Boreal PLain,9478.479
"109075","5","7","109",F26,F26,3.238,"9",Boreal PLain,3.238
"109075","5","7","109",FO1,F51,6.510,"9",Boreal PLain,6.510
"110075","5","7","110",F23,F23,9445.756,"9",Boreal PLain,9445.754
"110075","5","7","110",FO1,F51,13.030,"9",Boreal PLain,13.030
"112075","5","7","112",F23,F23,9507.282,"4",Taiga Plain,9507.282
"115075","5","7","115",F23,F23,9544.357,"4",Taiga Plain,9544.360
"116075","5","7","116",F10,F10,9508.582,"4",Taiga Plain,9508.582
"119075","5","7","119",F10,F10,9544.341,"4",Taiga Plain,9544.344
"120075","5","7","120",F10,F10,9507.732,"4",Taiga Plain,9507.732
"019085","5","8","19",B11,B11,1265.904,"14",Montane Cordillera,1265.904
"020085","5","8","20",B11,B11,5757.823,"14",Montane Cordillera,5757.824
"022085","5","8","22",B11,B11,9477.682,"14",Montane Cordillera,9477.680
"024085","5","8","24",B11,B11,3269.580,"14",Montane Cordillera,3269.586
"024085","5","8","24",B12,B12,2362.660,"14",Montane Cordillera,2362.661
"024085","5","8","24",BO1,B51,3525.547,"14",Montane Cordillera,3525.539
"024085","5","8","24",BO2,B52,341.674,"14",Montane Cordillera,341.675
"026085","5","8","26",B11,B11,10.784,"14",Montane Cordillera,10.784
"026085","5","8","26",B12,B12,2525.653,"14",Montane Cordillera,2525.653
"026085","5","8","26",BO2,B52,6924.970,"14",Montane Cordillera,6924.967
"027085","5","8","27",B11,B11,201.140,"9",Boreal PLain,201.140
"027085","5","8","27",B12,B12,9338.085,"9",Boreal PLain,2919.538
"027085","5","8","27",B12,B12,9338.085,"14",Montane Cordillera,6418.549
"030085","5","8","30",B12,B12,9462.532,"9",Boreal PLain,9462.530
"032085","5","8","32",B12,B12,3852.235,"9",Boreal PLain,3852.234
"032085","5","8","32",R10,R10,5659.153,"9",Boreal PLain,5659.154
"034085","5","8","34",R10,R10,9473.439,"9",Boreal PLain,9473.438
"036085","5","8","36",R10,R10,8979.451,"9",Boreal PLain,8979.450
"036085","5","8","36",RO1,R51,528.875,"9",Boreal PLain,528.876
"037085","5","8","37",R10,R10,6523.764,"9",Boreal PLain,6523.771
"037085","5","8","37",RO1,R51,2960.625,"9",Boreal PLain,2960.618
"040085","5","8","40",R15,R15,9437.690,"9",Boreal PLain,9437.690
"040085","5","8","40",RO1,R51,64.467,"9",Boreal PLain,64.467
"041085","5","8","41",R15,R15,8990.311,"9",Boreal PLain,8990.313
"041085","5","8","41",RO1,R51,486.103,"9",Boreal PLain,486.101
"044085","5","8","44",R15,R15,7168.150,"9",Boreal PLain,7168.154
"044085","5","8","44",RO1,R51,2370.469,"9",Boreal PLain,2370.465
"046085","5","8","46",R14,R14,9012.832,"9",Boreal PLain,9012.832
"046085","5","8","46",RO1,R51,446.921,"9",Boreal PLain,446.920
"047085","5","8","47",R14,R14,4471.188,"9",Boreal PLain,4471.187
"047085","5","8","47",R15,R15,3763.338,"9",Boreal PLain,3763.345
"047085","5","8","47",RO1,R51,1248.583,"9",Boreal PLain,1248.579
"050085","5","8","50",RO1,R51,6606.799,"9",Boreal PLain,6606.797
"050085","5","8","50",WO2,W52,2860.965,"9",Boreal PLain,2860.964
"051085","5","8","51",R15,R15,4897.840,"9",Boreal PLain,4897.841
"051085","5","8","51",WO2,W52,4633.719,"9",Boreal PLain,4633.719
"054085","5","8","54",WO2,W52,9411.319,"9",Boreal PLain,9411.318
"055085","5","8","55",WO2,W52,9479.375,"9",Boreal PLain,9479.376
"057085","5","8","57",WO2,W52,9483.042,"9",Boreal PLain,9483.042
"060085","5","8","60",WO2,W52,9508.425,"9",Boreal PLain,9508.425
"061085","5","8","61",WO2,W52,9479.921,"9",Boreal PLain,9479.921
"064085","5","8","64",W14,W14,9492.185,"9",Boreal PLain,9492.185
"065085","5","8","65",W14,W14,9478.686,"9",Boreal PLain,9478.686
"067085","5","8","67",S20,S20,9529.800,"9",Boreal PLain,9529.802
"069085","5","8","69",S20,S20,9477.858,"9",Boreal PLain,9477.858
"071085","5","8","71",S20,S20,9536.783,"9",Boreal PLain,9536.786
"074085","5","8","74",S20,S20,0.001,"9",Boreal PLain,0.000
"074085","5","8","74",SO2,S52,9439.189,"9",Boreal PLain,9439.186
"075085","5","8","75",S17,S17,2172.885,"9",Boreal PLain,2172.888
"075085","5","8","75",SO2,S52,7344.293,"9",Boreal PLain,7344.293
"077085","5","8","77",S17,S17,9486.718,"9",Boreal PLain,9486.718
"079085","5","8","79",S19,S19,9561.507,"9",Boreal PLain,9561.509
"081085","5","8","81",S19,S19,9489.247,"9",Boreal PLain,9489.247
"082085","5","8","82",S19,S19,9431.510,"9",Boreal PLain,9431.509
"097175","5","17","97",P21,P21,9490.168,"9",Boreal PLain,9490.168
"099175","5","17","99",P21,P21,9544.915,"9",Boreal PLain,9544.917
"101175","5","17","101",FO1,F51,4826.668,"9",Boreal PLain,4826.656
"101175","5","17","101",P21,P21,4663.218,"9",Boreal PLain,4663.230
"103175","5","17","103",FO1,F51,9543.328,"9",Boreal PLain,9543.329
"104175","5","17","104",F11,F11,720.766,"9",Boreal PLain,720.761
"104175","5","17","104",FO1,F51,8793.538,"9",Boreal PLain,8793.544
"107175","5","17","107",F11,F11,9510.587,"9",Boreal PLain,9510.588
"107175","5","17","107",FO1,F51,0.001,"9",Boreal PLain,0.000
"108175","5","17","108",F11,F11,1796.079,"9",Boreal PLain,1796.088
"108175","5","17","108",FO1,F51,7715.199,"9",Boreal PLain,7715.190
"111175","5","17","111",F26,F26,9542.201,"9",Boreal PLain,9542.202
"113175","5","17","113",F26,F26,9488.974,"9",Boreal PLain,1032.679
"113175","5","17","113",F26,F26,9488.974,"4",Taiga Plain,8456.295
"114175","5","17","114",F26,F26,9462.577,"4",Taiga Plain,9462.576
"117175","5","17","117",F26,F26,9486.226,"4",Taiga Plain,9486.226
"118175","5","17","118",F26,F26,9462.814,"4",Taiga Plain,9462.813
"121175","5","17","121",F26,F26,9486.761,"4",Taiga Plain,9486.761
"122175","5","17","122",F26,F26,9453.691,"4",Taiga Plain,9453.690
"124175","5","17","124",F26,F26,9510.802,"4",Taiga Plain,9510.802
"126175","5","17","126",F26,F26,9654.276,"4",Taiga Plain,9654.276
"035185","5","18","35",R11,R11,9525.821,"14",Montane Cordillera,9525.823
"037185","5","18","37",R11,R11,8875.046,"14",Montane Cordillera,8875.046
"039185","5","18","39",R11,R11,9574.478,"14",Montane Cordillera,9574.479
"040185","5","18","40",R11,R11,9528.624,"14",Montane Cordillera,9528.624
"043185","5","18","43",R11,R11,524.523,"9",Boreal PLain,524.521
"043185","5","18","43",R11,R11,524.523,"14",Montane Cordillera,0.000
"043185","5","18","43",R13,R13,9002.630,"9",Boreal PLain,7432.436
"043185","5","18","43",R13,R13,9002.630,"14",Montane Cordillera,1570.198
"045185","5","18","45",E14,E14,398.287,"9",Boreal PLain,398.287
"045185","5","18","45",R13,R13,9063.390,"9",Boreal PLain,9063.390
"045185","5","18","45",R15,R15,25.892,"9",Boreal PLain,25.892
"047185","5","18","47",E14,E14,9513.819,"9",Boreal PLain,9513.821
"049185","5","18","49",E14,E14,9486.648,"9",Boreal PLain,9486.648
"050185","5","18","50",E14,E14,449.544,"9",Boreal PLain,449.544
"050185","5","18","50",R15,R15,9001.458,"9",Boreal PLain,9001.457
"053185","5","18","53",EO1,E51,9283.781,"9",Boreal PLain,9283.782
"053185","5","18","53",R13,R13,0.002,"9",Boreal PLain,0.000
"053185","5","18","53",R15,R15,180.887,"9",Boreal PLain,180.883
"054185","5","18","54",E14,E14,2092.062,"9",Boreal PLain,2092.055
"054185","5","18","54",EO1,E51,656.299,"9",Boreal PLain,656.300
"054185","5","18","54",R15,R15,6690.206,"9",Boreal PLain,6690.207
"057185","5","18","57",E14,E14,9476.625,"9",Boreal PLain,9476.625
"059185","5","18","59",W14,W14,1696.931,"9",Boreal PLain,1696.933
"059185","5","18","59",W15,W15,7849.283,"9",Boreal PLain,7849.282
"060185","5","18","60",W14,W14,9377.348,"9",Boreal PLain,9377.349
"060185","5","18","60",W15,W15,132.914,"9",Boreal PLain,132.913
"063185","5","18","63",W14,W14,9546.551,"9",Boreal PLain,9546.553
"064185","5","18","64",W14,W14,9510.500,"9",Boreal PLain,9510.500
"067185","5","18","67",S21,S21,9516.799,"9",Boreal PLain,9516.801
"068185","5","18","68",S21,S21,9504.872,"9",Boreal PLain,9504.872
"070185","5","18","70",S21,S21,8698.220,"9",Boreal PLain,8698.220
"070185","5","18","70",SO2,S52,788.688,"9",Boreal PLain,788.686
"073185","5","18","73",SO2,S52,9486.061,"9",Boreal PLain,9486.061
"074185","5","18","74",SO2,S52,9434.895,"9",Boreal PLain,9434.893
"077185","5","18","77",PO5,P55,2176.694,"9",Boreal PLain,2176.699
"077185","5","18","77",S16,S16,1504.021,"9",Boreal PLain,1504.017
"077185","5","18","77",S21,S21,3.316,"9",Boreal PLain,3.316
"077185","5","18","77",S26,S26,4868.008,"9",Boreal PLain,4868.003
"077185","5","18","77",SO2,S52,933.695,"9",Boreal PLain,933.698
"078185","5","18","78",S21,S21,9478.883,"9",Boreal PLain,9478.881
"080185","5","18","80",PO5,P55,3952.573,"9",Boreal PLain,3952.568
"080185","5","18","80",S21,S21,5564.296,"9",Boreal PLain,5564.301
"082185","5","18","82",P21,P21,4707.389,"9",Boreal PLain,4707.389
"082185","5","18","82",PO5,P55,4707.011,"9",Boreal PLain,4707.010
"084185","5","18","84",P21,P21,9511.877,"9",Boreal PLain,9511.877
"087185","5","18","87",P21,P21,9530.753,"9",Boreal PLain,9530.754
"088185","5","18","88",P21,P21,9510.848,"9",Boreal PLain,9510.849
"090185","5","18","90",P21,P21,9464.232,"9",Boreal PLain,9464.232
"092185","5","18","92",P21,P21,9531.643,"9",Boreal PLain,9531.643
"094185","5","18","94",P21,P21,9497.235,"9",Boreal PLain,9497.235
"095185","5","18","95",P21,P21,9554.547,"9",Boreal PLain,9554.547
"098185","5","18","98",P21,P21,9384.455,"9",Boreal PLain,9384.454
"098185","5","18","98",PO5,P55,87.508,"9",Boreal PLain,87.508
"100185","5","18","100",P21,P21,9512.122,"9",Boreal PLain,9512.122
"102185","5","18","102",F11,F11,526.128,"9",Boreal PLain,526.130
"102185","5","18","102",FO1,F51,8934.763,"9",Boreal PLain,8934.761
"104185","5","18","104",F11,F11,1.145,"9",Boreal PLain,1.139
"104185","5","18","104",FO1,F51,9334.588,"9",Boreal PLain,9334.592
"104185","5","18","104",M1,M01,176.609,"9",Boreal PLain,176.610
"105185","5","18","105",F11,F11,9488.352,"9",Boreal PLain,9488.350
"105185","5","18","105",FO1,F51,0.002,"9",Boreal PLain,0.000
"108185","5","18","108",F11,F11,994.420,"9",Boreal PLain,994.423
"108185","5","18","108",FO1,F51,8519.592,"9",Boreal PLain,8519.585
"109185","5","18","109",FO1,F51,9491.657,"9",Boreal PLain,9491.657
"112185","5","18","112",F26,F26,9517.474,"9",Boreal PLain,4608.373
"112185","5","18","112",F26,F26,9517.474,"4",Taiga Plain,4909.101
"114185","5","18","114",F26,F26,9463.096,"4",Taiga Plain,9463.095
"115185","5","18","115",F26,F26,9541.492,"4",Taiga Plain,9541.494
"118185","5","18","118",F26,F26,9462.702,"4",Taiga Plain,9462.699
"119185","5","18","119",F26,F26,9546.159,"4",Taiga Plain,9546.161
"122185","5","18","122",F26,F26,9453.830,"4",Taiga Plain,9453.827
"123185","5","18","123",F26,F26,9536.925,"4",Taiga Plain,9536.927
"125185","5","18","125",F26,F26,9485.705,"4",Taiga Plain,9485.705
"034195","5","19","34",R11,R11,725.506,"14",Montane Cordillera,725.465
"035195","5","19","35",R11,R11,6561.870,"14",Montane Cordillera,6561.869
