TRM,M,RGE,TWP,FMU_NAME,FMU_CODE,areaha
"068104","4","10","68",L1,L01,9513.463
"069104","4","10","69",L1,L01,9495.492
"071104","4","10","71",L1,L01,9563.569
"074104","4","10","74",L1,L01,9453.940
"075104","4","10","75",L1,L01,4772.344
"075104","4","10","75",L11,L11,4749.345
"078104","4","10","78",L11,L11,9457.243
"079104","4","10","79",L11,L11,9533.766
"081104","4","10","81",A16,A16,9487.879
"083104","4","10","83",A16,A16,9541.381
"085104","4","10","85",A16,A16,9483.968
"088104","4","10","88",A16,A16,9497.740
"089104","4","10","89",A16,A16,9494.862
"091104","4","10","91",A16,A16,9549.114
"093104","4","10","93",A16,A16,9488.415
"095104","4","10","95",A16,A16,9545.834
"096104","4","10","96",A16,A16,9518.107
"099104","4","10","99",A16,A16,9535.729
"101104","4","10","101",A10,A10,9489.435
"103104","4","10","103",A10,A10,9540.515
"109104","4","10","109",A12,A12,696.870
"124104","4","10","124",A13,A13,135.359
"126104","4","10","126",A13,A13,9641.360
"057114","4","11","57",LO1,L51,9485.282
"058114","4","11","58",LO1,L51,9469.969
"061114","4","11","61",LO1,L51,9492.198
"062114","4","11","62",LO1,L51,9459.822
"064114","4","11","64",LO1,L51,9501.930
"066114","4","11","66",LO1,L51,9480.129
"068114","4","11","68",L1,L01,9514.763
"071114","4","11","71",L1,L01,9561.349
"072114","4","11","72",L1,L01,9508.062
"074114","4","11","74",L1,L01,9455.353
"076114","4","11","76",L11,L11,9509.107
"078114","4","11","78",L11,L11,9459.836
"079114","4","11","79",L11,L11,9533.078
"082114","4","11","82",A16,A16,9469.961
"084114","4","11","84",A16,A16,9505.754
"086114","4","11","86",A16,A16,9455.678
"088114","4","11","88",A16,A16,9506.593
"089114","4","11","89",A16,A16,9483.792
"092114","4","11","92",A16,A16,9504.824
"093114","4","11","93",A16,A16,9484.642
"096114","4","11","96",A16,A16,9502.793
"098114","4","11","98",A16,A16,9446.385
"099114","4","11","99",A16,A16,9541.640
"102114","4","11","102",A10,A10,9463.309
"103114","4","11","103",A10,A10,9543.898
"124114","4","11","124",A13,A13,152.916
"127114","4","11","127",A13,A13,32.463
"054224","4","22","54",LO1,L51,138.295
"056224","4","22","56",LO1,L51,9528.042
"058224","4","22","58",LO1,L51,9432.969
"059224","4","22","59",LO1,L51,9474.623
"062224","4","22","62",LO1,L51,9385.001
"063224","4","22","63",LO1,L51,9442.246
"066224","4","22","66",LO1,L51,7500.516
"066224","4","22","66",SO1,S51,1883.503
"068224","4","22","68",LO1,L51,9503.678
"069224","4","22","69",LO1,L51,9492.925
"072224","4","22","72",L2,L02,9507.840
"073224","4","22","73",L2,L02,9487.851
"076224","4","22","76",L2,L02,9509.901
"077224","4","22","77",S18,S18,9488.623
"079224","4","22","79",S18,S18,9529.517
"082224","4","22","82",S18,S18,9472.637
"083224","4","22","83",S22,S22,9546.663
"086224","4","22","86",S22,S22,9455.318
"087224","4","22","87",S22,S22,9531.255
"089224","4","22","89",S22,S22,9486.906
"091224","4","22","91",S22,S22,9547.344
"093224","4","22","93",S22,S22,9486.311
"096224","4","22","96",S22,S22,9507.640
"097224","4","22","97",A9,A09,9484.871
"099224","4","22","99",A9,A09,9535.516
"101224","4","22","101",A9,A09,9488.279
"103224","4","22","103",A9,A09,9545.116
"104224","4","22","104",A9,A09,9514.328
"055234","4","23","55",LO1,L51,9554.729
"056234","4","23","56",LO1,L51,9509.933
"059234","4","23","59",LO1,L51,9509.935
"060234","4","23","60",LO1,L51,9524.557
"062234","4","23","62",LO1,L51,9401.498
"064234","4","23","64",LO1,L51,2933.440
"064234","4","23","64",SO1,S51,6570.339
"066234","4","23","66",LO1,L51,553.331
"066234","4","23","66",SO1,S51,8857.719
"069234","4","23","69",L2,L02,0.002
"069234","4","23","69",LO1,L51,5299.436
"069234","4","23","69",S23,S23,839.155
"069234","4","23","69",SO1,S51,3350.486
"070234","4","23","70",L2,L02,8557.467
"070234","4","23","70",LO1,L51,0.002
"070234","4","23","70",S23,S23,939.072
"072234","4","23","72",L2,L02,9508.939
"074234","4","23","74",L2,L02,3148.792
"074234","4","23","74",S17,S17,6308.850
"076234","4","23","76",L2,L02,8455.564
"076234","4","23","76",S17,S17,1057.475
"077234","4","23","77",S18,S18,9491.666
"080234","4","23","80",S18,S18,9509.005
"082234","4","23","82",S18,S18,9473.358
"084234","4","23","84",S22,S22,9508.167
"086234","4","23","86",S22,S22,9454.811
"087234","4","23","87",S22,S22,9530.845
"090234","4","23","90",S22,S22,9471.718
"091234","4","23","91",S22,S22,9547.253
"094234","4","23","94",S22,S22,9466.815
"096234","4","23","96",S22,S22,9507.423
"097234","4","23","97",A9,A09,9484.818
"100234","4","23","100",A9,A09,9511.546
"101234","4","23","101",A9,A09,9488.732
"066065","5","6","66",W16,W16,9457.155
"067065","5","6","67",S20,S20,9531.151
"069065","5","6","69",S17,S17,1580.368
"069065","5","6","69",S20,S20,7901.572
"072065","5","6","72",S17,S17,2383.281
"072065","5","6","72",S20,S20,6399.868
"072065","5","6","72",SO2,S52,720.666
"073065","5","6","73",S17,S17,4.206
"073065","5","6","73",S20,S20,566.169
"073065","5","6","73",SO2,S52,8926.299
"076065","5","6","76",S17,S17,9512.764
"077065","5","6","77",S17,S17,9487.476
"079065","5","6","79",S18,S18,9563.913
"081065","5","6","81",S18,S18,9488.131
"083065","5","6","83",S19,S19,9505.762
"086065","5","6","86",S11,S11,9463.285
"087065","5","6","87",S11,S11,9537.189
"089065","5","6","89",S10,S10,9487.334
"091065","5","6","91",P21,P21,4775.688
"091065","5","6","91",S14,S14,4775.559
"093065","5","6","93",S14,S14,9487.140
"094065","5","6","94",P21,P21,3154.346
"094065","5","6","94",S14,S14,6308.936
"097065","5","6","97",F26,F26,9489.662
"099065","5","6","99",F26,F26,9546.506
"101065","5","6","101",F26,F26,9490.010
"103065","5","6","103",F26,F26,9546.488
"104065","5","6","104",F26,F26,9512.601
"107065","5","6","107",F26,F26,9513.876
"108065","5","6","108",F23,F23,7021.930
"108065","5","6","108",F26,F26,2491.357
"111065","5","6","111",F23,F23,9532.868
"113065","5","6","113",F23,F23,9483.687
"114065","5","6","114",F23,F23,9461.745
"117065","5","6","117",F10,F10,9484.730
"118065","5","6","118",F10,F10,9463.103
"016075","5","7","16",B11,B11,116.798
"019075","5","7","19",B11,B11,8720.954
"020075","5","7","20",B11,B11,9332.495
"020075","5","7","20",B12,B12,172.142
"022075","5","7","22",B11,B11,2857.253
"022075","5","7","22",B12,B12,6617.698
"024075","5","7","24",B12,B12,7000.121
"024075","5","7","24",BO1,B51,2497.223
"026075","5","7","26",B12,B12,4141.426
"026075","5","7","26",BO2,B52,5381.113
"027075","5","7","27",B12,B12,9282.325
"027075","5","7","27",BO2,B52,272.480
"030075","5","7","30",B12,B12,9487.347
"032075","5","7","32",B12,B12,7917.086
"032075","5","7","32",BO2,B52,1581.687
"034075","5","7","34",BO2,B52,1311.578
"034075","5","7","34",R10,R10,8165.454
"036075","5","7","36",BO2,B52,517.971
"036075","5","7","36",R10,R10,4223.082
"036075","5","7","36",RO1,R51,4768.935
"037075","5","7","37",R10,R10,1789.414
"037075","5","7","37",RO1,R51,7717.969
"040075","5","7","40",RO1,R51,9507.327
"041075","5","7","41",R15,R15,1946.207
"041075","5","7","41",RO1,R51,7535.238
"044075","5","7","44",R15,R15,7132.417
"044075","5","7","44",RO1,R51,2368.884
"046075","5","7","46",RO1,R51,9411.460
"047075","5","7","47",RO1,R51,9486.363
"050075","5","7","50",RO1,R51,9461.383
"050075","5","7","50",WO2,W52,0.001
"051075","5","7","51",WO2,W52,9479.209
"054075","5","7","54",WO2,W52,9406.941
"055075","5","7","55",WO2,W52,9486.699
"057075","5","7","57",WO2,W52,9483.199
"060075","5","7","60",WO2,W52,9495.292
"061075","5","7","61",WO2,W52,9484.152
"064075","5","7","64",W16,W16,9497.111
"065075","5","7","65",W16,W16,9473.580
"067075","5","7","67",S20,S20,9530.147
"069075","5","7","69",S20,S20,9480.159
"071075","5","7","71",S20,S20,9495.065
"074075","5","7","74",SO2,S52,9430.994
"075075","5","7","75",S17,S17,2132.969
"075075","5","7","75",SO2,S52,7381.597
"077075","5","7","77",S17,S17,9487.228
"079075","5","7","79",S17,S17,815.823
"079075","5","7","79",S18,S18,8747.307
"081075","5","7","81",S19,S19,9488.875
"082075","5","7","82",S19,S19,9431.157
"085075","5","7","85",S10,S10,9489.198
"087075","5","7","87",S10,S10,9536.877
"089075","5","7","89",S10,S10,9487.314
"091075","5","7","91",P21,P21,9551.977
"092075","5","7","92",P21,P21,9509.730
"095075","5","7","95",P21,P21,9542.725
"096075","5","7","96",P21,P21,9512.092
"099075","5","7","99",F26,F26,9545.356
"101075","5","7","101",F26,F26,9488.902
"102075","5","7","102",F26,F26,9466.307
"105075","5","7","105",F26,F26,9489.027
"106075","5","7","106",F26,F26,9437.263
"109075","5","7","109",F23,F23,9478.479
"109075","5","7","109",F26,F26,3.238
"109075","5","7","109",FO1,F51,6.510
"110075","5","7","110",F23,F23,9445.756
"110075","5","7","110",FO1,F51,13.030
"112075","5","7","112",F23,F23,9507.282
"115075","5","7","115",F23,F23,9544.357
"116075","5","7","116",F10,F10,9508.582
"119075","5","7","119",F10,F10,9544.341
"120075","5","7","120",F10,F10,9507.732
"019085","5","8","19",B11,B11,1265.904
"020085","5","8","20",B11,B11,5757.823
"022085","5","8","22",B11,B11,9477.682
"024085","5","8","24",B11,B11,3269.580
"024085","5","8","24",B12,B12,2362.660
"024085","5","8","24",BO1,B51,3525.547
"024085","5","8","24",BO2,B52,341.674
"026085","5","8","26",B11,B11,10.784
"026085","5","8","26",B12,B12,2525.653
"026085","5","8","26",BO2,B52,6924.970
"027085","5","8","27",B11,B11,201.140
"027085","5","8","27",B12,B12,9338.085
"030085","5","8","30",B12,B12,9462.532
"032085","5","8","32",B12,B12,3852.235
"032085","5","8","32",R10,R10,5659.153
"034085","5","8","34",R10,R10,9473.439
"036085","5","8","36",R10,R10,8979.451
"036085","5","8","36",RO1,R51,528.875
"037085","5","8","37",R10,R10,6523.764
"037085","5","8","37",RO1,R51,2960.625
"040085","5","8","40",R15,R15,9437.690
"040085","5","8","40",RO1,R51,64.467
"041085","5","8","41",R15,R15,8990.311
"041085","5","8","41",RO1,R51,486.103
"044085","5","8","44",R15,R15,7168.150
"044085","5","8","44",RO1,R51,2370.469
"046085","5","8","46",R14,R14,9012.832
"046085","5","8","46",RO1,R51,446.921
"047085","5","8","47",R14,R14,4471.188
"047085","5","8","47",R15,R15,3763.338
"047085","5","8","47",RO1,R51,1248.583
"050085","5","8","50",RO1,R51,6606.799
"050085","5","8","50",WO2,W52,2860.965
"051085","5","8","51",R15,R15,4897.840
"051085","5","8","51",WO2,W52,4633.719
"054085","5","8","54",WO2,W52,9411.319
"055085","5","8","55",WO2,W52,9479.375
"057085","5","8","57",WO2,W52,9483.042
"060085","5","8","60",WO2,W52,9508.425
"061085","5","8","61",WO2,W52,9479.921
"064085","5","8","64",W14,W14,9492.185
"065085","5","8","65",W14,W14,9478.686
"067085","5","8","67",S20,S20,9529.800
"069085","5","8","69",S20,S20,9477.858
"071085","5","8","71",S20,S20,9536.783
"074085","5","8","74",S20,S20,0.001
"074085","5","8","74",SO2,S52,9439.189
"075085","5","8","75",S17,S17,2172.885
"075085","5","8","75",SO2,S52,7344.293
"077085","5","8","77",S17,S17,9486.718
"079085","5","8","79",S19,S19,9561.507
"081085","5","8","81",S19,S19,9489.247
"082085","5","8","82",S19,S19,9431.510
"097175","5","17","97",P21,P21,9490.168
"099175","5","17","99",P21,P21,9544.915
"101175","5","17","101",FO1,F51,4826.668
"101175","5","17","101",P21,P21,4663.218
"103175","5","17","103",FO1,F51,9543.328
"104175","5","17","104",F11,F11,720.766
"104175","5","17","104",FO1,F51,8793.538
"107175","5","17","107",F11,F11,9510.587
"107175","5","17","107",FO1,F51,0.001
"108175","5","17","108",F11,F11,1796.079
"108175","5","17","108",FO1,F51,7715.199
"111175","5","17","111",F26,F26,9542.201
"113175","5","17","113",F26,F26,9488.974
"114175","5","17","114",F26,F26,9462.577
"117175","5","17","117",F26,F26,9486.226
"118175","5","17","118",F26,F26,9462.814
"121175","5","17","121",F26,F26,9486.761
"122175","5","17","122",F26,F26,9453.691
"124175","5","17","124",F26,F26,9510.802
"126175","5","17","126",F26,F26,9654.276
"035185","5","18","35",R11,R11,9525.821
"037185","5","18","37",R11,R11,8875.046
"039185","5","18","39",R11,R11,9574.478
"040185","5","18","40",R11,R11,9528.624
"043185","5","18","43",R11,R11,524.523
"043185","5","18","43",R13,R13,9002.630
"045185","5","18","45",E14,E14,398.287
"045185","5","18","45",R13,R13,9063.390
"045185","5","18","45",R15,R15,25.892
"047185","5","18","47",E14,E14,9513.819
"049185","5","18","49",E14,E14,9486.648
"050185","5","18","50",E14,E14,449.544
"050185","5","18","50",R15,R15,9001.458
"053185","5","18","53",EO1,E51,9283.781
"053185","5","18","53",R13,R13,0.002
"053185","5","18","53",R15,R15,180.887
"054185","5","18","54",E14,E14,2092.062
"054185","5","18","54",EO1,E51,656.299
"054185","5","18","54",R15,R15,6690.206
"057185","5","18","57",E14,E14,9476.625
"059185","5","18","59",W14,W14,1696.931
"059185","5","18","59",W15,W15,7849.283
"060185","5","18","60",W14,W14,9377.348
"060185","5","18","60",W15,W15,132.914
"063185","5","18","63",W14,W14,9546.551
"064185","5","18","64",W14,W14,9510.500
"067185","5","18","67",S21,S21,9516.799
"068185","5","18","68",S21,S21,9504.872
"070185","5","18","70",S21,S21,8698.220
"070185","5","18","70",SO2,S52,788.688
"073185","5","18","73",SO2,S52,9486.061
"074185","5","18","74",SO2,S52,9434.895
"077185","5","18","77",PO5,P55,2176.694
"077185","5","18","77",S16,S16,1504.021
"077185","5","18","77",S21,S21,3.316
"077185","5","18","77",S26,S26,4868.008
"077185","5","18","77",SO2,S52,933.695
"078185","5","18","78",S21,S21,9478.883
"080185","5","18","80",PO5,P55,3952.573
"080185","5","18","80",S21,S21,5564.296
"082185","5","18","82",P21,P21,4707.389
"082185","5","18","82",PO5,P55,4707.011
"084185","5","18","84",P21,P21,9511.877
"087185","5","18","87",P21,P21,9530.753
"088185","5","18","88",P21,P21,9510.848
"090185","5","18","90",P21,P21,9464.232
"092185","5","18","92",P21,P21,9531.643
"094185","5","18","94",P21,P21,9497.235
"095185","5","18","95",P21,P21,9554.547
"098185","5","18","98",P21,P21,9384.455
"098185","5","18","98",PO5,P55,87.508
"100185","5","18","100",P21,P21,9512.122
"102185","5","18","102",F11,F11,526.128
"102185","5","18","102",FO1,F51,8934.763
"104185","5","18","104",F11,F11,1.145
"104185","5","18","104",FO1,F51,9334.588
"104185","5","18","104",M1,M01,176.609
"105185","5","18","105",F11,F11,9488.352
"105185","5","18","105",FO1,F51,0.002
"108185","5","18","108",F11,F11,994.420
"108185","5","18","108",FO1,F51,8519.592
"109185","5","18","109",FO1,F51,9491.657
"112185","5","18","112",F26,F26,9517.474
"114185","5","18","114",F26,F26,9463.096
"115185","5","18","115",F26,F26,9541.492
"118185","5","18","118",F26,F26,9462.702
"119185","5","18","119",F26,F26,9546.159
"122185","5","18","122",F26,F26,9453.830
"123185","5","18","123",F26,F26,9536.925
"125185","5","18","125",F26,F26,9485.705
"034195","5","19","34",R11,R11,725.506
"035195","5","19","35",R11,R11,6561.870
"037195","5","19","37",R11,R11,3126.586
"039195","5","19","39",R11,R11,9548.442
"041195","5","19","41",R11,R11,9493.161
"044195","5","19","44",E14,E14,691.371
"044195","5","19","44",R11,R11,0.006
"044195","5","19","44",R15,R15,8813.283
"045195","5","19","45",E14,E14,4606.727
"045195","5","19","45",R13,R13,4740.371
"045195","5","19","45",R15,R15,142.255
"047195","5","19","47",E14,E14,9510.174
"049195","5","19","49",E14,E14,9484.175
"051195","5","19","51",E14,E14,1983.283
"051195","5","19","51",R13,R13,0.002
"051195","5","19","51",R15,R15,7530.345
"052195","5","19","52",EO1,E51,64.716
"052195","5","19","52",R13,R13,9038.441
"052195","5","19","52",R15,R15,400.142
"055195","5","19","55",E14,E14,9520.986
"057195","5","19","57",E14,E14,9483.580
"059195","5","19","59",W14,W14,7605.131
"059195","5","19","59",W15,W15,1937.765
"061195","5","19","61",W14,W14,9487.535
"062195","5","19","62",W14,W14,9488.026
"065195","5","19","65",W14,W14,9488.777
"066195","5","19","66",S21,S21,1548.470
"066195","5","19","66",W14,W14,7901.728
"069195","5","19","69",SO2,S52,9489.572
"071195","5","19","71",SO2,S52,9565.512
"072195","5","19","72",SO2,S52,9505.531
"075195","5","19","75",PO5,P55,4751.779
"075195","5","19","75",SO2,S52,4747.392
"076195","5","19","76",PO5,P55,9509.271
"079195","5","19","79",PO5,P55,3575.059
"079195","5","19","79",S21,S21,5825.477
"079195","5","19","79",S26,S26,129.737
"080195","5","19","80",PO5,P55,9504.532
"080195","5","19","80",S21,S21,0.002
"082195","5","19","82",PO5,P55,9449.745
"085195","5","19","85",PO5,P55,9450.827
"086195","5","19","86",PO5,P55,9434.024
"089195","5","19","89",P21,P21,9488.161
"090195","5","19","90",P21,P21,9458.029
"092195","5","19","92",P21,P21,9503.619
"094195","5","19","94",P21,P21,9475.455
"096195","5","19","96",P21,P21,9510.012
"099195","5","19","99",P21,P21,4048.267
"099195","5","19","99",PO5,P55,5493.249
"100195","5","19","100",P21,P21,6619.481
"100195","5","19","100",PO5,P55,2893.484
"102195","5","19","102",F11,F11,6295.231
"102195","5","19","102",FO1,F51,525.868
"102195","5","19","102",M1,M01,2646.594
"104195","5","19","104",F11,F11,3859.670
"104195","5","19","104",FO1,F51,1523.771
"104195","5","19","104",M1,M01,4128.628
"106195","5","19","106",F11,F11,9432.404
"107195","5","19","107",F11,F11,7923.957
"107195","5","19","107",FO1,F51,1587.669
"110195","5","19","110",FO1,F51,9464.521
"111195","5","19","111",F26,F26,1895.758
"111195","5","19","111",FO1,F51,7641.683
"113195","5","19","113",F26,F26,9489.658
"116195","5","19","116",F26,F26,9510.255
"117195","5","19","117",F26,F26,9486.251
"120195","5","19","120",F26,F26,9511.712
"121195","5","19","121",F26,F26,9487.038
"123195","5","19","123",F26,F26,9536.697
"125195","5","19","125",F26,F26,9485.692
"127195","5","19","127",F26,F26,29.710
"035205","5","20","35",R11,R11,38.205
"037205","5","20","37",R11,R11,1348.677
"039205","5","20","39",R11,R11,9506.769
"040205","5","20","40",R11,R11,9437.680
"081084","4","8","81",L11,L11,9486.377
"082084","4","8","82",L11,L11,9468.649
"084084","4","8","84",A16,A16,9505.153
"087084","4","8","87",A16,A16,9523.277
"088084","4","8","88",A16,A16,9504.200
"091084","4","8","91",A16,A16,9530.163
"092084","4","8","92",A16,A16,9502.597
"094084","4","8","94",A16,A16,9461.033
"096084","4","8","96",A16,A16,9506.764
"098084","4","8","98",A16,A16,9455.719
"101084","4","8","101",A10,A10,9495.994
"102084","4","8","102",A10,A10,9466.738
"104084","4","8","104",A10,A10,9512.914
"106084","4","8","106",A12,A12,9463.223
"108084","4","8","108",A12,A12,9562.691
"109084","4","8","109",A12,A12,9266.788
"112084","4","8","112",A12,A12,71.974
"112084","4","8","112",A13,A13,6650.128
"114084","4","8","114",A13,A13,1910.212
"116084","4","8","116",A13,A13,9512.516
"118084","4","8","118",A13,A13,9448.032
"119084","4","8","119",A13,A13,9528.777
"122084","4","8","122",A13,A13,9451.685
"123084","4","8","123",A13,A13,9535.438
"126084","4","8","126",A13,A13,9651.346
"056094","4","9","56",LO1,L51,9478.274
"057094","4","9","57",LO1,L51,9454.246
"060094","4","9","60",LO1,L51,9535.633
"061094","4","9","61",LO1,L51,9499.881
"064094","4","9","64",LO1,L51,9502.712
"065094","4","9","65",LO1,L51,9482.433
"067094","4","9","67",L1,L01,4759.659
"067094","4","9","67",L9,L09,4763.587
"070094","4","9","70",L1,L01,4740.979
"070094","4","9","70",L9,L09,4745.495
"071094","4","9","71",L1,L01,4780.145
"071094","4","9","71",L9,L09,4779.583
"074094","4","9","74",L1,L01,9458.769
"074094","4","9","74",L11,L11,0.001
"075094","4","9","75",L1,L01,2976.017
"075094","4","9","75",L11,L11,6549.736
"077094","4","9","77",L11,L11,9490.114
"079094","4","9","79",L11,L11,9532.110
"081094","4","9","81",A16,A16,9486.492
"084094","4","9","84",A16,A16,9504.368
"085094","4","9","85",A16,A16,9480.985
"087094","4","9","87",A16,A16,9533.385
"089094","4","9","89",A16,A16,9475.183
"091094","4","9","91",A16,A16,9553.599
"092094","4","9","92",A16,A16,9506.387
"095094","4","9","95",A16,A16,9533.542
"097094","4","9","97",A16,A16,9484.235
"099094","4","9","99",A16,A16,9537.038
"101094","4","9","101",A10,A10,9492.957
"102094","4","9","102",A10,A10,9459.227
"105094","4","9","105",A12,A12,2381.895
"106094","4","9","106",A12,A12,4220.856
"109094","4","9","109",A12,A12,5736.543
"115094","4","9","115",A13,A13,1499.147
"116094","4","9","116",A13,A13,3425.468
"119094","4","9","119",A13,A13,2708.314
"120094","4","9","120",A13,A13,4258.193
"122094","4","9","122",A13,A13,2218.699
"123094","4","9","123",A13,A13,5465.406
"126094","4","9","126",A13,A13,9648.245
"056104","4","10","56",LO1,L51,9486.970
"058104","4","10","58",LO1,L51,9460.699
"060104","4","10","60",LO1,L51,9529.720
"062104","4","10","62",LO1,L51,9459.680
"064104","4","10","64",LO1,L51,9506.465
"065104","4","10","65",LO1,L51,9480.893
"104234","4","23","104",A9,A09,9514.435
"045244","4","24","45",RO1,R51,4614.010
"046244","4","24","46",RO1,R51,5483.043
"055244","4","24","55",LO1,L51,9560.451
"056244","4","24","56",LO1,L51,9521.763
"059244","4","24","59",LO1,L51,9516.214
"060244","4","24","60",LO1,L51,9516.478
"060244","4","24","60",SO1,S51,3.737
"063244","4","24","63",LO1,L51,148.283
"063244","4","24","63",SO1,S51,9307.181
"064244","4","24","64",SO1,S51,9508.716
"066244","4","24","66",SO1,S51,9407.206
"069244","4","24","69",S23,S23,9479.784
"069244","4","24","69",SO1,S51,0.004
"070244","4","24","70",L2,L02,1688.044
"070244","4","24","70",S23,S23,7796.736
"073244","4","24","73",L2,L02,1054.916
"073244","4","24","73",S17,S17,8432.258
"074244","4","24","74",S17,S17,9462.025
"076244","4","24","76",S17,S17,6871.766
"076244","4","24","76",S18,S18,2640.413
"078244","4","24","78",S18,S18,9459.050
"080244","4","24","80",S18,S18,9506.703
"083244","4","24","83",S18,S18,802.219
"083244","4","24","83",S22,S22,8745.633
"084244","4","24","84",S22,S22,9508.641
"086244","4","24","86",S22,S22,9454.088
"088244","4","24","88",S22,S22,9508.681
"090244","4","24","90",S22,S22,9471.616
"091244","4","24","91",S22,S22,9545.836
"094244","4","24","94",S22,S22,9465.097
"096244","4","24","96",S22,S22,9506.069
"098244","4","24","98",A9,A09,9453.004
"100244","4","24","100",A9,A09,9510.580
"101244","4","24","101",A9,A09,9487.722
"104244","4","24","104",A9,A09,9514.564
"001254","4","25","1",CO1,C51,56.445
"003254","4","25","3",CO1,C51,4732.420
"006254","4","25","6",CO1,C51,3410.932
"007254","4","25","7",CO1,C51,3103.180
"009254","4","25","9",CO1,C51,5.384
"042254","4","25","42",RO1,R51,14.911
"044254","4","25","44",RO1,R51,8953.155
"047254","4","25","47",RO1,R51,9518.782
"048254","4","25","48",RO1,R51,9455.712
"051254","4","25","51",RO1,R51,2715.886
"051254","4","25","51",WO2,W52,688.842
"054254","4","25","54",LO1,L51,3945.093
"054254","4","25","54",WO2,W52,1701.261
"056254","4","25","56",LO1,L51,4993.740
"056254","4","25","56",WO2,W52,4518.948
"058254","4","25","58",LO1,L51,6254.318
"058254","4","25","58",WO2,W52,3167.476
"061254","4","25","61",SO1,S51,9494.709
"062254","4","25","62",SO1,S51,9404.899
"064254","4","25","64",SO1,S51,9507.694
"066254","4","25","66",S23,S23,9352.501
"066254","4","25","66",SO1,S51,130.544
"068254","4","25","68",S23,S23,9490.204
"071254","4","25","71",S23,S23,6835.743
"071254","4","25","71",SO1,S51,2724.102
"072254","4","25","72",S17,S17,3796.440
"072254","4","25","72",S23,S23,2004.312
"072254","4","25","72",SO1,S51,3703.992
"074254","4","25","74",S17,S17,9456.151
"076254","4","25","76",S17,S17,9509.683
"078254","4","25","78",S17,S17,9460.762
"079254","4","25","79",S17,S17,6844.685
"079254","4","25","79",S18,S18,2681.645
"082254","4","25","82",S18,S18,9469.219
"084254","4","25","84",S22,S22,9517.182
"086254","4","25","86",S22,S22,9460.609
"088254","4","25","88",S22,S22,9509.135
"089254","4","25","89",S22,S22,9486.572
"092254","4","25","92",S22,S22,7821.247
"093254","4","25","93",S22,S22,7798.379
"085085","5","8","85",S10,S10,9489.315
"086085","5","8","86",S10,S10,9463.356
"088085","5","8","88",S10,S10,9509.436
"091085","5","8","91",P21,P21,9551.634
"092085","5","8","92",P21,P21,9509.774
"095085","5","8","95",P21,P21,9543.064
"096085","5","8","96",P21,P21,9512.974
"098085","5","8","98",F26,F26,9468.469
"100085","5","8","100",F26,F26,9511.581
"102085","5","8","102",F26,F26,9470.078
"105085","5","8","105",F26,F26,9488.897
"106085","5","8","106",F26,F26,9437.002
"108085","5","8","108",F26,F26,9513.728
"110085","5","8","110",F26,F26,6869.795
"110085","5","8","110",FO1,F51,2587.693
"112085","5","8","112",F26,F26,9507.761
"113085","5","8","113",F26,F26,9483.734
"116085","5","8","116",F10,F10,9508.568
"118085","5","8","118",F10,F10,9462.029
"120085","5","8","120",F10,F10,9507.472
"022095","5","9","22",B11,B11,9491.816
"023095","5","9","23",B11,B11,9535.001
"026095","5","9","26",B11,B11,6708.299
"026095","5","9","26",B12,B12,394.096
"027095","5","9","27",B11,B11,7132.667
"027095","5","9","27",B12,B12,828.176
"030095","5","9","30",B12,B12,3555.832
"030095","5","9","30",R10,R10,5905.991
"031095","5","9","31",B12,B12,22.309
"031095","5","9","31",R10,R10,9509.042
"033095","5","9","33",R10,R10,9490.078
"036095","5","9","36",R10,R10,9504.565
"037095","5","9","37",R10,R10,9484.457
"040095","5","9","40",R10,R10,817.447
"040095","5","9","40",R15,R15,8684.487
"041095","5","9","41",R15,R15,9481.825
"043095","5","9","43",R15,R15,9535.245
"045095","5","9","45",R14,R14,0.002
"045095","5","9","45",R15,R15,9487.200
"047095","5","9","47",R14,R14,1322.338
"047095","5","9","47",R15,R15,8198.989
"050095","5","9","50",R15,R15,7604.061
"050095","5","9","50",RO1,R51,62.523
"050095","5","9","50",WO2,W52,1781.360
"051095","5","9","51",R15,R15,9525.613
"053095","5","9","53",WO2,W52,9489.861
"055095","5","9","55",WO1,W51,9405.518
"057095","5","9","57",WO2,W52,9406.103
"058095","5","9","58",WO2,W52,9414.391
"061095","5","9","61",W14,W14,7653.917
"061095","5","9","61",WO2,W52,1843.594
"063095","5","9","63",W14,W14,9524.485
"065095","5","9","65",W14,W14,9481.765
"067095","5","9","67",S20,S20,8321.993
"067095","5","9","67",W14,W14,1210.955
"068095","5","9","68",S20,S20,9505.360
"071095","5","9","71",S20,S20,8750.985
"071095","5","9","71",SO2,S52,788.454
"072095","5","9","72",S20,S20,3757.920
"072095","5","9","72",SO2,S52,5746.168
"075095","5","9","75",S17,S17,5025.159
"075095","5","9","75",SO2,S52,4489.945
"077095","5","9","77",S17,S17,9486.663
"078095","5","9","78",S17,S17,3157.384
"078095","5","9","78",S19,S19,6326.074
"081095","5","9","81",S19,S19,9488.411
"082095","5","9","82",S19,S19,9432.001
"085095","5","9","85",S10,S10,9490.372
"086095","5","9","86",S10,S10,9463.895
"088095","5","9","88",S10,S10,9511.323
"091095","5","9","91",P21,P21,9550.803
"092095","5","9","92",P21,P21,9509.808
"095095","5","9","95",P21,P21,9542.408
"096095","5","9","96",P21,P21,9512.443
"098095","5","9","98",F26,F26,9468.115
