"TRM","res_dec","res_con","res_total"
89126,16.1279855340217,16.1279855340217,33.1257648862647
89134,3.280151818278,3.280151818278,21.9278621334978
89135,6.05546806041475,6.05546806041475,26.4617224562272
89136,17.8855360536244,17.8855360536244,31.4401257606617
89144,4.44961919233676,4.44961919233676,20.31135378024
89145,9.05200542888666,9.05200542888666,26.1314240868015
89154,7.47595360539523,7.47595360539523,27.0316846469711
89155,7.46491259428676,7.46491259428676,24.6534886777827
89164,9.97300218442643,9.97300218442643,28.4952880660745
89165,6.75789979296829,6.75789979296829,22.2896427574403
89174,21.8094929885671,21.8094929885671,32.2040003530424
89175,8.38463485032002,8.38463485032002,24.3304449434647
89184,6.65947870439648,6.65947870439648,18.8053985162938
89185,8.34352783585745,8.34352783585745,26.3887167396233
89194,12.0861358609156,12.0861358609156,25.741981836608
89195,9.82978196452547,9.82978196452547,25.7439556800822
89204,21.4766723594715,21.4766723594715,33.1123152615281
89205,10.2188276863391,10.2188276863391,23.5840734761016
89214,17.1999749288171,17.1999749288171,29.3184042676535
89215,12.3954578548565,12.3954578548565,19.9042807329596
89224,18.2089050446256,18.2089050446256,27.9162542936155
89234,18.1182528888429,18.1182528888429,29.0690176038626
89235,12.8142695716752,12.8142695716752,19.0842509456047
89244,17.7787490071655,17.7787490071655,30.3602746887395
89245,13.6620658402433,13.6620658402433,24.8725511636405
89254,19.6866016641697,19.6866016641697,37.4004398439599
89255,15.2047537834249,15.2047537834249,35.9069905297551
89264,15.1004496928825,15.1004496928825,42.4535053641518
89265,9.76694140028102,9.76694140028102,45.0952620662551
90014,0.225535572069699,0.225535572069699,15.8909549558039
90015,21.5674176403978,21.5674176403978,37.9750582091716
90016,17.0658959256607,17.0658959256607,36.9412646629608
90024,1.02020934812263,1.02020934812263,13.8118487962692
90025,22.5702641964859,22.5702641964859,38.6114101632208
90026,10.651108586428,10.651108586428,35.8416829061344
90034,22.1589657291606,22.1589657291606,41.3587898393579
90035,30.5549653322877,30.5549653322877,44.1520101493547
90036,11.6891966170915,11.6891966170915,34.25176657355
90044,12.3195917250069,12.3195917250069,36.6984397851881
90045,30.6427615602188,30.6427615602188,42.734658519386
90046,6.75484270344465,6.75484270344465,31.3887665242306
90054,2.42155556578126,2.42155556578126,27.0896465243667
90055,25.207925032504,25.207925032504,37.6369948993112
90056,5.87458506903043,5.87458506903043,32.2103946368279
90064,2.37047088847098,2.37047088847098,28.7580092067985
90065,18.1937296718228,18.1937296718228,32.2240442657709
90066,9.53643032165932,9.53643032165932,40.1917477784032
90074,3.43106943834896,3.43106943834896,27.2380597524886
90075,9.11061947133925,9.11061947133925,23.2191946268113
90076,2.01655065973136,2.01655065973136,37.337779147389
90084,4.54993120610863,4.54993120610863,28.1736995726511
90085,9.90427487720493,9.90427487720493,22.9992280910408
90086,2.53021173161299,2.53021173161299,28.3668665154358
90094,6.13949398729873,6.13949398729873,26.108403345163
90095,8.16763519211845,8.16763519211845,18.5755446499649
90096,3.12628167933062,3.12628167933062,28.6984932200677
90104,5.89157404943184,5.89157404943184,24.6666044799576
90105,8.16758851227325,8.16758851227325,17.8081709819336
90106,3.23254139227548,3.23254139227548,27.2568892569418
90114,6.30554213338706,6.30554213338706,26.8053878752144
90115,8.49101348590805,8.49101348590805,27.8803770181036
90116,9.4644666311382,9.4644666311382,30.9267339427231
90124,3.35582463582957,3.35582463582957,27.5810584000991
90125,5.99017726751258,5.99017726751258,29.7358700808929
90126,18.0127558023132,18.0127558023132,32.3083088593158
90134,4.31385770569957,4.31385770569957,24.6729154305567
90135,4.64530177248435,4.64530177248435,26.1308299504806
90136,17.4718901322814,17.4718901322814,29.2603024086401
90144,3.24207896400015,3.24207896400015,23.1558103733974
90145,7.73224393973687,7.73224393973687,26.5669191373037
90154,7.00631555854192,7.00631555854192,24.3453586656109
90155,6.83486184664623,6.83486184664623,24.5356366262424
90164,5.43724962815818,5.43724962815818,25.7985790433252
90165,10.0417496930939,10.0417496930939,26.1478848901119
90174,3.66431326983493,3.66431326983493,27.4136793503778
90175,8.66633059018168,8.66633059018168,28.1380388000891
90184,4.76898384510454,4.76898384510454,23.7690215504858
90185,4.40856217420934,4.40856217420934,21.6176118318517
90194,8.64874402399224,8.64874402399224,26.7956725718375
90195,6.26425844605766,6.26425844605766,22.2066307062583
90204,18.0442497883915,18.0442497883915,27.8211217608105
90205,9.80239226440763,9.80239226440763,23.4467644300823
90214,10.8313860826316,10.8313860826316,30.6643070203301
90215,20.8437108289295,20.8437108289295,27.041421596168
90224,3.96985228366863,3.96985228366863,26.2672844935485
90225,3.60764207640102,3.60764207640102,12.5096759014974
90234,18.4607116792211,18.4607116792211,29.8561615018583
90235,6.02756871711707,6.02756871711707,13.4815655433453
90244,12.4882406041015,12.4882406041015,26.7079985824207
90245,9.38537741327207,9.38537741327207,24.8111883123452
90254,11.8460716330999,11.8460716330999,32.6260970709405
90255,10.0112832083587,10.0112832083587,24.8875199961921
90264,17.3616095039503,17.3616095039503,36.8040337049226
90265,8.44504279710327,8.44504279710327,29.4903994045284
91014,0.131029641401733,0.131029641401733,15.4861521573974
91015,23.5098316147038,23.5098316147038,39.3162725592694
91016,7.36175408715137,7.36175408715137,28.1474771149507
91024,1.37972694692732,1.37972694692732,27.921353494279
91025,22.2111419845716,22.2111419845716,36.6251088994141
91026,11.541860106566,11.541860106566,35.0194495860042
91034,7.79023737704327,7.79023737704327,30.5426572486625
91035,19.6136757902407,19.6136757902407,37.4993858580124
91036,9.95403450166464,9.95403450166464,34.6971824853614
91044,2.25904773194864,2.25904773194864,28.7579110976226
91045,24.8591607890319,24.8591607890319,40.1312110715891
91046,12.5365522132975,12.5365522132975,38.009281331603
91054,2.15458471276605,2.15458471276605,28.5006248964692
91055,24.2588197568891,24.2588197568891,36.7448776366036
91056,9.7153608478801,9.7153608478801,38.1465016886115
91064,3.06058230269714,3.06058230269714,23.43444667281
91065,16.66454419751,16.66454419751,26.1812717091737
91066,9.770818306465,9.770818306465,38.5990583518449
91074,3.79231329696517,3.79231329696517,27.8476393730897
91075,6.93720018726101,6.93720018726101,19.0757394687965
91076,3.71727867699527,3.71727867699527,29.7793947336198
91084,9.02663139104352,9.02663139104352,33.5195100648999
91085,9.07599658341822,9.07599658341822,19.4751529464103
91086,4.62136372741337,4.62136372741337,30.1167106602273
