TRM,merchvol_sum,abie_bal,abie_las,betu_pap,lari_lar,lari_lya,pice_eng,pice_gla,pice_mar,pinu_ban,pinu_con,pinu_spp,popu_bal,popu_spp,popu_tre,pseu_men,max value,max_species
72164,14545.26671,1.014305443,0,1.847408335,6.812447312,0,0,24.52798101,9.741634095,2.858233758,0,0.054459456,5.084103921,0,47.70106679,0,47.70106679,popu_tre
72165,2585.729973,0.289209235,0,0.955651604,8.300643134,0,0,17.13091206,10.23655658,0.041609744,0.184925923,0.491440432,11.36803214,0,50.2338149,0,50.2338149,popu_tre
72174,9632.489952,1.859673447,0,2.624088636,7.759150425,0,0,21.31074935,11.82779766,2.409575069,0,0.005323317,6.14388623,0.001759097,45.43683498,0,45.43683498,popu_tre
72175,7273.769966,1.061165052,0,1.44534457,8.793888725,0,0,24.47299713,21.58443079,5.114655085,1.113493548,0.004548727,4.279571882,0,31.08508685,0,31.08508685,popu_tre
72184,30504.73984,1.925231674,0,2.397523357,3.291676581,0,0,29.02341928,8.346957606,3.266191978,0.191290983,0.001361616,4.803114781,0.000465465,46.36129037,0,46.36129037,popu_tre
72185,4184.089973,0,0,0.057283421,1.290013326,0,0,15.8737705,5.2961722,0.000431662,2.035807576,0,6.815591704,0,68.01484468,0,68.01484468,popu_tre
72194,44208.53308,1.423041937,0,2.118214294,1.404474014,0,0,25.56754336,9.189201544,4.204967738,0.023256975,0.001677098,6.355525487,0.006428257,49.3714131,0,49.3714131,popu_tre
72195,2200.506683,0.170492405,0,0.202291821,1.72907301,0,0,19.28239612,8.094845252,1.355006198,0.19829993,0,2.56742172,0.399867845,65.43405324,0,65.43405324,popu_tre
72204,32551.75979,0.491735714,0,1.295277196,1.737690225,0,0,25.43390394,8.867340679,2.858267545,0.109599912,0.023598591,4.743385941,0.006045558,53.85965207,0,53.85965207,popu_tre
72205,2513.006634,2.528377828,0,4.658341286,0.954386145,0,0,23.54196327,8.321148536,0.119290688,0.495303722,0,13.89754535,0,44.99196099,0,44.99196099,popu_tre
72214,7188.66333,0.384938842,0,1.626109333,3.25654059,0,0,23.68060605,10.00256506,1.553153566,0,0,5.313628911,0,53.46432838,0,53.46432838,popu_tre
72215,711.1866455,1.904581516,0,1.582185913,0.00532006,0,0,16.73110805,10.01537069,1.401001898,0,0,6.693215891,0,60.69915814,0,60.69915814,popu_tre
72224,1152.970001,1.212201229,0,0.895312485,2.725286498,0,0,29.44458241,3.318482651,3.756174352,0.250186141,0,4.21239678,0.013493692,54.10336506,0,54.10336506,popu_tre
72225,1055.533318,0,0,0.957908893,0.095652587,0,0,4.634319036,4.182616541,0,1.066526936,0,28.71344204,0,59.95787921,0,59.95787921,popu_tre
72234,58410.28326,1.478369574,0,1.239226553,0.887928573,0,0,32.46375378,7.96435966,4.315654274,0.775019122,0,4.481611765,0.033958124,46.02684852,0,46.02684852,popu_tre
72235,23886.31994,2.11078289,0,3.603412266,0.404133987,0,0,25.24876236,2.11892013,0.00146035,4.21592495,0,12.39827974,0.005247541,49.53322461,0,49.53322461,popu_tre
72244,52520.54959,1.271591106,0,1.397655545,1.768385995,0,0,30.41258717,5.768917514,3.0336515,0.403607214,0,5.943049606,0.025485728,49.47489794,0,49.47489794,popu_tre
72245,14897.73322,0.130061729,0,1.928487073,1.220992314,0,0,27.11111718,6.990823191,0.910505309,7.615801926,0.035544926,7.233379544,0,46.23586969,0,46.23586969,popu_tre
72254,64851.38665,1.644544946,0,0.960102172,1.55786065,0,0,36.15417096,7.50324264,2.709990489,1.158143733,0.000909951,4.759882291,0.019005648,43.32277972,0,43.32277972,popu_tre
72255,33916.10651,0.985975976,0,2.605293366,0.859157487,0,0,25.48308429,7.347772889,0.486582155,8.543007728,0.016156686,8.977615406,0.028669255,44.21955163,0,44.21955163,popu_tre
72264,42637.48329,1.307537121,0,1.158505853,1.918003532,0,0,28.47837091,7.424031689,6.987074904,0.469985247,0.002040954,4.41658318,0.026299683,47.2970624,0,47.2970624,popu_tre
72265,5296.600014,0.149828254,0,0.903440924,1.367015841,0,0,15.89223382,6.956876955,1.838963704,3.462969417,0.004223982,12.33776181,0.007189002,56.45974716,0,56.45974716,popu_tre
73014,375.2833328,0,0,0.011820048,3.790660324,0,0,2.769490182,48.34270949,37.00614028,0,0,0,0,6.240927949,0,48.34270949,pice_mar
73015,33883.03991,1.052762914,0,0.857849652,2.670815298,0,0,28.25074889,10.76878597,8.039419404,0.47479991,0.002701796,3.31813205,0.027185164,43.74152963,0,43.74152963,popu_tre
