"location","year","cycleTime200","cycleTime400","cycleTime800"
"Edson",1990,5.40322266666667,8.07313583333333,14.6365816666667
"Edson",1991,4.39931883333333,6.59517166666667,10.7922638888889
"Edson",1992,4.40566136111111,6.04173005555556,10.8925480555556
"Edson",1993,4.98774922222222,7.15957555555556,13.7643869444444
"Edson",1994,4.42085633333333,5.79513022222222,10.8859827777778
"Edson",1995,4.32880352777778,5.89462608333333,10.1815705555556
"Edson",1996,4.40566136111111,5.91574088888889,10.50545
"Edson",1997,4.40566136111111,5.76240138888889,10.0413630555556
"Edson",1998,4.05166527777778,5.46051077777778,7.98134611111111
"Edson",1999,4.95333322222222,7.51012222222222,11.4687558333333
"Edson",2000,4.28213827777778,5.66916044444444,9.84058833333333
"Edson",2001,3.51952330555556,4.78496177777778,7.49928166666667
"Edson",2002,3.69599183333333,5.00300133333333,7.55137277777778
"Edson",2003,3.47759383333333,4.81235433333333,7.849165
"Edson",2004,3.93893611111111,4.83801011111111,7.883105
"Edson",2005,3.76505594444444,4.86458372222222,7.89871194444444
"Edson",2006,4.02557152777778,5.03100080555556,8.07942944444444
"Edson",2007,4.83918797222222,6.17726925,10.5037925
"Edson",2008,5.01905169444444,6.09607536111111,10.8827652777778
"Edson",2009,4.74490172222222,5.46051077777778,9.42938444444444
"Edson",2010,4.38319816666667,5.40731052777778,9.67948361111111
"Edson",2011,4.89201172222222,6.42820244444444,11.0094455555556
"Edson",2012,4.57344438888889,5.59018633333333,9.43894888888889
"Edson",2013,3.77775022222222,5.01905169444444,7.6145825
"Edson",2014,4.61127461111111,6.04173005555556,9.46334666666667
"Edson",2015,3.67090666666667,5.27341094444444,8.08876388888889
"Hinton",1990,6.28161644444445,8.50953166666667,15.7604388888889
"Hinton",1991,5.21722711111111,7.09806833333333,11.5745761111111
"Hinton",1992,5.29093161111111,6.92585472222222,11.9853611111111
"Hinton",1993,5.58955205555556,7.69152555555555,14.2708741666667
"Hinton",1994,4.11929244444444,6.76646416666667,12.2736211111111
"Hinton",1995,4.10469066666667,6.30368088888889,10.9126733333333
"Hinton",1996,3.9613205,6.19843927777778,11.5745761111111
"Hinton",1997,4.53636038888889,6.69798111111111,10.8313230555556
"Hinton",1998,3.94885702777778,5.88285633333333,8.67719138888889
"Hinton",1999,4.56480722222222,8.2877125,12.4780586111111
"Hinton",2000,4.17220972222222,6.239283,10.5761888888889
"Hinton",2001,3.55510138888889,5.09683361111111,8.09077416666667
"Hinton",2002,3.94885702777778,5.4967115,8.38198277777778
"Hinton",2003,3.43953483333333,5.14466241666667,8.30231166666667
"Hinton",2004,3.31808955555556,5.59311955555556,8.506355
"Hinton",2005,3.40690561111111,6.12322711111111,8.88700888888889
"Hinton",2006,3.37064427777778,4.91303352777778,8.09077416666667
"Hinton",2007,4.867073,7.31020277777778,11.2296505555556
"Hinton",2008,5.20072980555556,6.92320027777778,11.6228566666667
"Hinton",2009,5.18807730555555,6.35865733333333,9.93403944444444
"Hinton",2010,4.99389147222222,6.424279,10.0107222222222
"Hinton",2011,5.55244561111111,7.00738611111111,12.2712394444444
"Hinton",2012,4.39016916666667,6.16549438888889,9.87633861111111
"Hinton",2013,4.21403872222222,5.38692119444444,8.2877125
"Hinton",2014,4.61184363888889,6.46988888888889,10.3530486111111
"Hinton",2015,3.71762794444444,5.63048144444444,8.52884055555556
"Whitecourt",1990,5.07032408333333,6.95633777777778,12.4011772222222
"Whitecourt",1991,4.84202741666667,6.30486427777778,9.48008333333333
"Whitecourt",1992,4.75610144444444,6.55458577777778,9.79834
"Whitecourt",1993,4.77333177777778,6.74850277777778,11.5401033333333
"Whitecourt",1994,4.75610144444444,6.49813411111111,9.19818111111111
"Whitecourt",1995,4.61684055555556,6.05881261111111,8.99343722222222
"Whitecourt",1996,5.22449188888889,6.55315272222222,9.13779972222222
"Whitecourt",1997,4.3090445,5.91914019444444,8.813665
"Whitecourt",1998,4.09704272222222,5.31023,7.08385916666667
"Whitecourt",1999,5.64474513888889,7.08385916666667,9.8991825
"Whitecourt",2000,5.15173816666667,6.36318072222222,8.643395
"Whitecourt",2001,4.12358277777778,5.27756405555556,6.91500222222222
"Whitecourt",2002,3.74265966666667,5.13374344444444,7.05163888888889
"Whitecourt",2003,4.19482705555555,5.4137405,7.33545472222222
"Whitecourt",2004,3.840453,5.23024613888889,7.05163888888889
"Whitecourt",2005,3.62416930555556,5.23141552777778,6.95633777777778
"Whitecourt",2006,4.29811225,5.65082144444444,7.11977166666667
"Whitecourt",2007,4.66235383333333,6.55230075,9.03233666666667
"Whitecourt",2008,4.34330444444444,7.05934611111111,9.11740555555556
"Whitecourt",2009,4.04187611111111,5.76749311111111,8.47223305555556
"Whitecourt",2010,3.72479352777778,5.73781119444444,8.46191111111111
"Whitecourt",2011,4.31652280555556,5.94059477777778,9.61089916666667
"Whitecourt",2012,4.5085725,6.0258755,8.75597222222222
"Whitecourt",2013,4.29352175,5.33603572222222,7.1996
"Whitecourt",2014,4.61496738888889,5.93880127777778,8.56408111111111
"Whitecourt",2015,4.35073116666667,5.49578605555556,7.22086972222222
